Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,0.001363,0.002454,0.000909,0.000909,0.000909,1385239
2010-04-01,0.001363,0.001454,0.000909,0.001272,0.001272,262296
2010-05-01,0.001363,0.001727,0.000636,0.001454,0.001454,582472
2010-06-01,0.001454,0.007272,0.000454,0.001363,0.001363,8911158
2010-07-01,0.001363,0.003181,0.000727,0.001090,0.001090,3387837
2010-08-01,0.001818,0.002090,0.000727,0.000909,0.000909,609846
2010-09-01,0.000909,0.001363,0.000727,0.000727,0.000727,308017
2010-10-01,0.000727,0.008181,0.000727,0.001818,0.001818,4936525
2010-11-01,0.001090,0.003363,0.001090,0.003181,0.003181,1104125
2010-12-01,0.003181,0.003272,0.001454,0.001454,0.001454,926389
2011-01-01,0.001454,0.004545,0.001000,0.001181,0.001181,9953323
2011-02-01,0.001181,0.001272,0.000818,0.000909,0.000909,2204486
2011-03-01,0.001181,0.002454,0.000909,0.001272,0.001272,1277871
2011-04-01,0.001272,0.001272,0.000909,0.001181,0.001181,1985004
2011-05-01,0.001272,0.001272,0.001000,0.001000,0.001000,551479
2011-06-01,0.001000,0.001363,0.000727,0.000727,0.000727,517819
2011-07-01,0.000727,0.003181,0.000454,0.001818,0.001818,5835900
2011-08-01,0.001363,0.014545,0.000727,0.002727,0.002727,21291462
2011-09-01,0.002727,0.002727,0.000090,0.000181,0.000181,1373721584
2011-10-01,0.000181,0.000272,0.000090,0.000090,0.000090,1415829190
2011-11-01,0.000181,0.010000,0.000090,0.002500,0.002500,351946928
2011-12-01,0.002300,0.003200,0.000100,0.000100,0.000100,1218585919
2012-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,258525015
2012-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,23575363
2012-03-01,0.000100,0.000100,0.000100,0.000100,0.000100,21172286
2012-04-01,0.000100,0.000100,0.000100,0.000100,0.000100,1100
2012-05-01,0.000100,0.000900,0.000100,0.000100,0.000100,31376600
2012-06-01,0.000100,0.000100,0.000100,0.000100,0.000100,5024285
2012-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-03-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-04-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-05-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-06-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,1000660
2013-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,2901100
2013-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,56000
2014-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,1550000
2014-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,11328000
2014-03-01,0.000100,0.000200,0.000100,0.000100,0.000100,77294536
2014-04-01,0.000100,0.000300,0.000100,0.000100,0.000100,455774421
2014-05-01,0.000100,0.000200,0.000100,0.000100,0.000100,15123900
2014-06-01,0.000100,0.000100,0.000100,0.000100,0.000100,41144858
2014-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,1540
2014-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,1000000
2014-12-01,0.000100,0.000100,0.000010,0.000100,0.000100,1413941
2015-01-01,0.000100,0.000100,0.000010,0.000010,0.000010,6050
2015-02-01,0.000010,0.000100,0.000010,0.000100,0.000100,51600000
2015-03-01,0.000100,0.001000,0.000010,0.000100,0.000100,10640
2015-04-01,0.000100,0.001000,0.000010,0.000100,0.000100,33750
2015-05-01,0.000100,0.001000,0.000100,0.001000,0.001000,550
2015-06-01,0.001000,0.001000,0.001000,0.001000,0.001000,0
2015-07-01,0.001000,0.001000,0.000100,0.000100,0.000100,5820
2015-08-01,0.000100,0.000100,0.000010,0.000010,0.000010,2200
2015-09-01,0.000010,0.000010,0.000010,0.000010,0.000010,479
2015-10-01,0.000010,0.001000,0.000010,0.001000,0.001000,1925
2015-11-01,0.001000,0.001000,0.000010,0.000100,0.000100,857675
2015-12-01,0.000100,0.001000,0.000010,0.001000,0.001000,79260
2016-01-01,0.001000,0.001000,0.000010,0.000010,0.000010,1100
2016-02-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2016-03-01,0.000010,0.000010,0.000010,0.000010,0.000010,432255
2016-04-01,0.000010,0.001000,0.000010,0.001000,0.001000,1100
2016-05-01,0.001000,0.001000,0.000010,0.000010,0.000010,8305
2016-06-01,0.000010,0.000010,0.000010,0.000010,0.000010,220
2016-07-01,0.000010,0.000100,0.000010,0.000010,0.000010,660253
2016-08-01,0.000010,0.000100,0.000010,0.000100,0.000100,820
2016-09-01,0.000100,0.001000,0.000100,0.001000,0.001000,1100
2016-10-01,0.001000,0.001000,0.000010,0.000010,0.000010,532
2016-11-01,0.000010,0.001000,0.000010,0.000100,0.000100,176600
2016-12-01,0.000100,0.001000,0.000010,0.000010,0.000010,99995
2017-01-01,0.000010,0.001000,0.000010,0.000100,0.000100,1015113
2017-02-01,0.000100,0.000100,0.000010,0.000100,0.000100,4376197
2017-03-01,0.000100,0.000100,0.000010,0.000100,0.000100,6820
