Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,21.490000,22.700001,21.389999,22.299999,13.132088,17948600
2010-04-01,22.430000,23.830000,22.379999,23.690001,14.148649,15483600
2010-05-01,23.709999,23.930000,21.100000,22.000000,13.139315,29447500
2010-06-01,21.920000,23.059999,21.080000,21.610001,12.906390,19571300
2010-07-01,21.730000,24.570000,21.219999,23.879999,14.469021,15845700
2010-08-01,24.200001,24.629999,23.240000,23.969999,14.523554,20785800
2010-09-01,24.230000,24.639999,23.559999,24.230000,14.681084,15454600
2010-10-01,24.430000,25.790001,24.209999,25.299999,15.526584,14017000
2010-11-01,25.400000,25.900000,24.639999,24.910000,15.287245,27872800
2010-12-01,25.200001,25.520000,24.500000,25.160000,15.440679,17246400
2011-01-01,25.410000,26.070000,25.049999,25.500000,15.843070,14768400
2011-02-01,25.700001,26.350000,25.320000,26.000000,16.153719,19000900
2011-03-01,26.000000,26.600000,25.129999,26.420000,16.414669,24230400
2011-04-01,26.549999,27.230000,25.580000,27.209999,17.117712,17431200
2011-05-01,27.150000,27.980000,26.660000,27.190001,17.105135,19484500
2011-06-01,27.200001,27.280001,26.000000,26.910000,16.928991,20166000
2011-07-01,27.049999,27.290001,25.559999,25.809999,16.436209,13566300
2011-08-01,26.030001,26.730000,22.629999,26.650000,16.971134,41435100
2011-09-01,26.730000,27.000000,24.750000,26.420000,16.824665,35396600
2011-10-01,26.400000,27.730000,25.020000,27.260000,17.579073,24664800
2011-11-01,26.879999,27.840000,25.790001,27.620001,17.811230,27351400
2011-12-01,27.620001,29.049999,26.629999,28.780001,18.559277,15522500
2012-01-01,29.110001,29.129999,27.830000,28.440001,18.556263,18241800
2012-02-01,28.549999,28.900000,27.490000,27.520000,17.955988,20601700
2012-03-01,27.600000,28.190001,27.120001,27.930000,18.223501,20827700
2012-04-01,28.000000,28.740000,26.799999,28.690001,18.945576,18619300
2012-05-01,28.690001,28.959999,27.350000,28.620001,18.899347,21208500
2012-06-01,28.270000,30.170000,28.230000,29.950001,19.777618,17199800
2012-07-01,30.090000,31.020000,29.900000,30.559999,20.412800,11283500
2012-08-01,30.660000,33.040001,28.959999,29.120001,19.450935,11957900
2012-09-01,29.170000,30.170000,29.010000,29.660000,19.811636,9805800
2012-10-01,29.750000,30.290001,29.209999,29.700001,20.062788,9651300
2012-11-01,29.809999,30.240000,27.330000,28.700001,19.387266,14163900
2012-12-01,28.760000,29.209999,27.950001,28.620001,19.333229,12541500
2013-01-01,28.980000,30.230000,28.590000,30.070000,20.550425,13441600
2013-02-01,30.250000,31.670000,30.080000,31.020000,21.199680,13585100
2013-03-01,31.260000,33.349998,31.010000,33.180000,22.675858,14414900
2013-04-01,33.209999,34.959999,32.849998,34.959999,24.147717,14767800
2013-05-01,34.790001,34.919998,31.260000,31.719999,21.909775,19354800
