Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,7.300000,8.380000,7.030000,8.170000,8.170000,7023300
2010-04-01,8.230000,9.260000,8.170000,8.680000,8.680000,5361900
2010-05-01,8.740000,8.770000,7.580000,7.990000,7.990000,6918200
2010-06-01,7.910000,8.290000,7.200000,7.210000,7.210000,6823600
2010-07-01,7.250000,7.460000,3.460000,4.110000,4.110000,44102700
2010-08-01,4.150000,4.360000,3.560000,3.620000,3.620000,18937200
2010-09-01,3.660000,4.300000,3.620000,4.080000,4.080000,8301100
2010-10-01,4.100000,4.170000,3.600000,3.640000,3.640000,11231900
2010-11-01,3.640000,3.870000,2.260000,2.280000,2.280000,20149300
2010-12-01,2.330000,3.280000,2.330000,3.190000,3.190000,11901000
2011-01-01,3.210000,3.360000,2.950000,3.050000,3.050000,7799600
2011-02-01,3.520000,3.960000,3.320000,3.440000,3.440000,11848100
2011-03-01,3.450000,3.470000,3.000000,3.270000,3.270000,10913200
2011-04-01,3.280000,3.340000,2.980000,3.300000,3.300000,6746400
2011-05-01,3.300000,3.330000,3.030000,3.210000,3.210000,8711700
2011-06-01,3.210000,3.230000,2.580000,3.180000,3.180000,11206400
2011-07-01,3.200000,3.260000,2.760000,2.810000,2.810000,6234700
2011-08-01,2.850000,3.070000,2.070000,3.000000,3.000000,10854500
2011-09-01,2.980000,2.980000,2.490000,2.560000,2.560000,6629900
2011-10-01,2.520000,3.130000,2.180000,2.980000,2.980000,6498300
2011-11-01,2.810000,4.580000,2.750000,4.500000,4.500000,22334200
2011-12-01,4.460000,4.900000,4.240000,4.450000,4.450000,12067700
2012-01-01,4.580000,5.600000,4.470000,5.300000,5.300000,10068100
2012-02-01,5.360000,5.760000,4.870000,5.560000,5.560000,6374100
2012-03-01,5.570000,7.830000,5.300000,7.800000,7.800000,22441900
2012-04-01,7.800000,8.710000,7.230000,8.450000,8.450000,13821100
2012-05-01,8.470000,8.630000,6.680000,7.050000,7.050000,13030500
2012-06-01,6.870000,7.350000,6.280000,7.210000,7.210000,12122200
2012-07-01,7.210000,7.580000,6.460000,6.460000,6.460000,7746800
2012-08-01,6.510000,7.810000,6.280000,7.670000,7.670000,10587700
2012-09-01,7.620000,8.510000,7.300000,8.050000,8.050000,12069100
2012-10-01,8.110000,8.190000,6.890000,7.050000,7.050000,8405000
2012-11-01,7.080000,7.910000,6.740000,7.870000,7.870000,10362300
2012-12-01,7.900000,7.930000,7.020000,7.840000,7.840000,10821600
2013-01-01,7.880000,8.270000,7.300000,7.550000,7.550000,8399600
2013-02-01,7.610000,7.680000,6.120000,7.100000,7.100000,16336400
2013-03-01,7.020000,7.550000,6.620000,7.050000,7.050000,10517900
2013-04-01,7.020000,7.250000,6.590000,7.130000,7.130000,11341900
2013-05-01,7.080000,7.430000,6.590000,6.600000,6.600000,10902200
2013-06-01,6.610000,6.740000,5.710000,6.260000,6.260000,12601600
2013-07-01,6.300000,7.250000,6.150000,6.990000,6.990000,10474700
2013-08-01,7.050000,8.170000,7.050000,7.700000,7.700000,9103800
2013-09-01,7.790000,8.050000,7.550000,7.810000,7.810000,7768000
2013-10-01,7.790000,8.420000,7.510000,8.300000,8.300000,6165400
2013-11-01,8.270000,9.850000,7.680000,9.750000,9.750000,10510900
2013-12-01,9.710000,10.420000,9.030000,9.990000,9.990000,9095600
2014-01-01,9.920000,9.930000,8.460000,8.480000,8.480000,6570800
2014-02-01,8.420000,8.620000,7.860000,8.400000,8.400000,6634200
2014-03-01,8.300000,9.390000,6.370000,6.860000,6.860000,17558000
2014-04-01,6.840000,7.150000,6.380000,6.600000,6.600000,15475400
2014-05-01,6.600000,9.080000,6.380000,8.900000,8.900000,17546500
2014-06-01,8.900000,9.290000,8.620000,8.900000,8.900000,11955600
2014-07-01,8.900000,9.130000,8.350000,8.370000,8.370000,9846200
2014-08-01,8.360000,8.470000,6.560000,7.810000,7.810000,7778000
2014-09-01,7.850000,8.160000,6.750000,6.750000,6.750000,12802000
2014-10-01,6.730000,7.460000,6.470000,7.290000,7.290000,14744500
2014-11-01,7.280000,7.620000,7.040000,7.100000,7.100000,12072100
2014-12-01,7.060000,7.750000,6.040000,7.150000,7.150000,16426500
2015-01-01,7.200000,7.240000,6.410000,6.610000,6.610000,10398000
2015-02-01,6.610000,7.290000,6.560000,7.110000,7.110000,6575600
2015-03-01,7.130000,8.530000,6.870000,7.620000,7.620000,13953100
2015-04-01,7.640000,8.040000,7.230000,7.400000,7.400000,17176200
2015-05-01,7.450000,8.500000,7.160000,7.730000,7.730000,13008000
2015-06-01,7.890000,8.500000,7.580000,7.740000,7.740000,10867200
2015-07-01,7.850000,7.870000,5.040000,5.050000,5.050000,13566600
2015-08-01,5.050000,5.620000,4.390000,5.170000,5.170000,14649200
2015-09-01,5.070000,5.620000,4.630000,5.130000,5.130000,11349400
2015-10-01,5.150000,5.350000,4.060000,4.680000,4.680000,9526700
2015-11-01,4.730000,5.290000,3.350000,3.820000,3.820000,13488500
2015-12-01,3.810000,4.430000,3.270000,4.390000,4.390000,12881600
2016-01-01,4.380000,4.500000,2.750000,2.810000,2.810000,10752600
2016-02-01,2.810000,3.030000,2.140000,2.940000,2.940000,8875200
2016-03-01,2.980000,3.600000,1.730000,2.290000,2.290000,16195700
2016-04-01,2.290000,2.290000,1.640000,1.680000,1.680000,13023600
2016-05-01,1.700000,1.760000,1.130000,1.430000,1.430000,24955500
2016-06-01,1.430000,1.700000,1.150000,1.150000,1.150000,23635000
2016-07-01,1.190000,2.000000,1.160000,1.900000,1.900000,14774000
2016-08-01,1.880000,2.240000,1.690000,2.110000,2.110000,8245400
2016-09-01,2.080000,2.640000,2.010000,2.470000,2.470000,3992600
2016-10-01,2.500000,2.600000,2.000000,2.010000,2.010000,3664800
2016-11-01,2.010000,2.500000,1.210000,2.160000,2.160000,5381800
2016-12-01,2.180000,2.550000,2.080000,2.170000,2.170000,7799900
2017-01-01,2.160000,3.030000,2.160000,2.950000,2.950000,6543700
2017-02-01,2.940000,3.390000,2.810000,3.250000,3.250000,5371500
2017-03-01,3.260000,5.060000,3.170000,4.790000,4.790000,22057400
2017-04-01,4.870000,6.490000,4.660000,6.350000,6.350000,19816800
2017-05-01,6.370000,7.260000,6.050000,6.690000,6.690000,20140700
2017-06-01,6.710000,7.500000,6.570000,7.280000,7.280000,26063100
2017-07-01,7.310000,8.240000,6.860000,7.460000,7.460000,16687100
2017-08-01,7.500000,8.990000,7.070000,7.710000,7.710000,17567000
2017-09-01,7.720000,7.890000,6.810000,7.590000,7.590000,12250000
2017-10-01,7.510000,8.990000,7.290000,8.290000,8.290000,16485400
2017-11-01,8.310000,8.940000,8.120000,8.150000,8.150000,15612200
2017-12-01,8.090000,8.210000,7.160000,7.540000,7.540000,14697400
2018-01-01,7.610000,8.350000,7.230000,7.740000,7.740000,13485700
2018-02-01,7.660000,7.860000,6.570000,7.450000,7.450000,11395100
2018-03-01,7.470000,8.020000,6.450000,6.570000,6.570000,18347000
2018-04-01,6.560000,6.740000,6.080000,6.410000,6.410000,11889000
2018-05-01,6.390000,8.200000,6.260000,7.490000,7.490000,12766900
2018-06-01,7.570000,8.750000,6.960000,7.200000,7.200000,11253800
2018-07-01,7.110000,7.970000,7.110000,7.350000,7.350000,8095400
2018-08-01,7.330000,8.840000,7.320000,8.670000,8.670000,11549200
2018-09-01,8.670000,9.820000,7.790000,9.170000,9.170000,18202300
2018-10-01,9.200000,9.240000,6.660000,7.200000,7.200000,14779700
