Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,36.500000,38.930000,35.959999,36.919998,31.008137,38514900
2010-04-01,37.029999,41.580002,36.009998,40.709999,34.191277,43669200
2010-05-01,40.509998,42.389999,36.209999,38.240002,32.116791,50947600
2010-06-01,38.040001,39.360001,34.459999,34.509998,29.140257,30741900
2010-07-01,34.470001,42.790001,33.650002,42.639999,36.005226,36268000
2010-08-01,43.000000,44.369999,39.209999,39.599998,33.438255,38205300
2010-09-01,40.220001,47.580002,39.919998,46.230000,39.036633,30780600
2010-10-01,46.669998,50.560001,45.230000,49.360001,41.679607,28731700
2010-11-01,49.500000,53.430000,48.619999,52.900002,44.668774,28364300
2010-12-01,53.840000,57.150002,53.590000,54.599998,46.279396,25858600
2011-01-01,55.080002,56.189999,50.340000,50.669998,42.948296,24115000
2011-02-01,50.939999,55.110001,46.779999,47.799999,40.515667,28353000
2011-03-01,48.790001,50.279999,45.910000,50.150002,42.507549,35392200
2011-04-01,50.360001,55.299999,49.930000,54.270000,45.999680,24626000
2011-05-01,54.759998,55.150002,51.180000,52.820000,44.770653,25594500
2011-06-01,52.740002,53.110001,46.529999,51.189999,43.596294,42450500
2011-07-01,51.209999,53.220001,47.040001,47.720001,40.641056,24943000
2011-08-01,48.130001,48.139999,40.139999,45.500000,38.750374,70017800
2011-09-01,45.400002,46.419998,39.279999,40.549999,34.534672,44183800
2011-10-01,40.189999,47.730000,38.250000,45.599998,38.835533,41451800
2011-11-01,44.330002,45.950001,39.880001,43.509998,37.055573,34564500
2011-12-01,43.279999,43.320000,39.130001,40.959999,35.097282,32439900
2012-01-01,41.830002,45.000000,40.799999,44.650002,38.259136,29173900
2012-02-01,44.500000,45.000000,42.290001,43.680000,37.427971,33783400
2012-03-01,43.820000,47.200001,43.290001,46.509998,39.852898,35818500
2012-04-01,46.360001,47.480000,39.770000,40.000000,34.274696,42643100
2012-05-01,40.070000,41.130001,37.180000,38.250000,32.775173,62124600
2012-06-01,37.450001,40.500000,36.720001,38.750000,33.443287,31560300
2012-07-01,38.950001,39.610001,35.490002,35.570000,30.698774,32735400
2012-08-01,35.889999,38.900002,34.830002,36.610001,31.596352,34284600
2012-09-01,36.500000,39.450001,35.900002,36.349998,31.371962,24995300
2012-10-01,36.430000,37.360001,34.200001,36.610001,31.596352,48889100
2012-11-01,36.520000,38.500000,35.400002,37.419998,32.295422,32177100
2012-12-01,37.660000,39.970001,36.669998,39.549999,34.393787,29561400
2013-01-01,40.270000,43.799999,40.160000,42.900002,37.307056,37447800
2013-02-01,43.299999,43.610001,36.080002,38.849998,33.785057,47227100
2013-03-01,38.509998,39.779999,35.330002,35.730000,31.071810,45662600
2013-04-01,35.790001,37.250000,34.830002,35.930000,31.245747,43230100
2013-05-01,36.020000,40.709999,35.029999,39.029999,33.941589,42381200
