Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,11.330000,13.350000,11.100000,12.680000,8.031221,20417400
2010-04-01,12.730000,15.240000,12.520000,15.020000,9.589063,14715000
2010-05-01,15.080000,16.320000,13.700000,15.040000,9.601832,23587200
2010-06-01,14.910000,15.620000,13.290000,13.900000,8.874033,24091500
2010-07-01,13.900000,15.730000,12.940000,15.510000,9.970942,19280900
2010-08-01,15.750000,16.080000,14.440000,15.290000,9.829507,14901100
2010-09-01,15.520000,17.100000,15.390000,16.040001,10.311665,17372600
2010-10-01,16.160000,16.809999,15.640000,16.200001,10.480690,16508800
2010-11-01,16.230000,17.420000,15.390000,16.020000,10.364235,12058600
2010-12-01,16.309999,17.700001,16.139999,17.400000,11.257033,20232700
2011-01-01,17.520000,19.540001,17.389999,19.230000,12.513587,15449100
2011-02-01,19.340000,19.870001,18.400000,19.750000,12.851968,12411300
2011-03-01,19.740000,20.920000,18.700001,20.709999,13.476674,22432500
2011-04-01,20.809999,22.219999,19.270000,21.639999,14.182905,13698700
2011-05-01,21.780001,21.879999,20.650000,21.760000,14.261552,18696200
2011-06-01,21.740000,21.809999,19.610001,21.330000,13.979738,18953300
2011-07-01,21.370001,22.440001,20.959999,21.260000,14.031149,12045300
2011-08-01,21.480000,21.629999,17.809999,21.500000,14.189541,28840800
2011-09-01,21.510000,21.910000,18.610001,18.629999,12.295402,20154200
2011-10-01,18.440001,23.209999,17.290001,22.530001,14.969984,19417800
2011-11-01,21.930000,24.139999,21.799999,24.100000,16.013168,21941100
2011-12-01,23.950001,24.680000,22.990000,24.230000,16.099543,19583200
2012-01-01,24.510000,26.350000,23.799999,26.320000,17.589279,17814500
2012-02-01,26.430000,27.629999,25.910000,26.370001,17.622692,18003900
2012-03-01,26.410000,28.920000,26.170000,28.790001,19.239952,15665200
2012-04-01,28.700001,30.650000,27.450001,30.350000,20.435551,30945600
2012-05-01,30.500000,30.820000,27.639999,28.360001,19.095621,22115100
2012-06-01,27.760000,30.670000,27.549999,30.600000,20.603884,31158700
2012-07-01,30.799999,34.250000,30.209999,32.740002,22.199726,17535700
2012-08-01,32.830002,34.259998,32.580002,34.110001,23.128674,15564800
2012-09-01,34.230000,35.169998,33.009998,33.250000,22.545530,11766600
2012-10-01,33.299999,34.570000,32.590000,34.490002,23.524345,12006900
2012-11-01,34.500000,36.509998,33.930000,35.150002,23.974506,18381800
2012-12-01,35.279999,36.560001,34.810001,36.389999,24.820267,12576400
2013-01-01,36.810001,40.049999,36.639999,39.840000,27.368147,26481600
2013-02-01,39.959999,40.970001,36.500000,37.439999,25.719463,19437300
2013-03-01,37.389999,39.610001,36.889999,39.270000,26.976578,15974800
2013-04-01,39.240002,43.580002,38.869999,43.580002,30.130951,15575600
2013-05-01,43.480000,45.290001,41.799999,41.889999,28.962475,12900700
2013-06-01,41.990002,43.889999,40.220001,41.930000,28.990141,20490200
2013-07-01,42.180000,44.790001,41.599998,42.049999,29.351921,16321200
2013-08-01,42.330002,44.000000,40.599998,41.230000,28.779539,12297500
2013-09-01,41.490002,47.110001,39.980000,45.750000,31.934608,16724500
2013-10-01,45.880001,49.290001,45.400002,45.990002,32.396854,17707600
