Date,Open,High,Low,Close,Adj Close,Volume
2021-10-01,32.080002,35.200001,21.200001,23.680000,23.680000,5802895
2021-11-01,23.440001,25.600000,18.639999,19.920000,19.920000,770330
2021-12-01,19.680000,21.488001,10.880000,11.040000,11.040000,776843
2022-01-01,11.360000,12.800000,7.728000,9.280000,9.280000,737305
2022-02-01,9.520000,10.800000,6.408000,8.960000,8.960000,207191
2022-03-01,9.160000,12.000000,7.248000,8.400000,8.400000,1165456
2022-04-01,8.240000,8.560000,4.832000,5.200000,5.200000,191381
2022-05-01,5.360000,5.360000,2.912000,3.680000,3.680000,307916
2022-06-01,3.920000,6.480000,3.224000,6.400000,6.400000,257067
2022-07-01,6.560000,7.072000,4.640000,4.960000,4.960000,104718
2022-08-01,4.992000,7.800000,4.800000,6.440000,6.440000,165781
2022-09-01,5.680000,7.840000,3.936000,4.928000,4.928000,373830
2022-10-01,5.056000,6.000000,4.320000,4.880000,4.880000,84930
2022-11-01,4.856000,5.760000,2.880000,3.280000,3.280000,94693
2022-12-01,3.280000,3.856000,2.000000,2.248000,2.248000,71167
2023-01-01,2.248000,4.920000,2.248000,3.920000,3.920000,142492
2023-02-01,3.680000,4.440000,3.040000,3.168000,3.168000,160829
2023-03-01,3.168000,3.320000,2.280000,2.320000,2.320000,65858
2023-04-01,2.480000,3.728000,1.740000,1.910000,1.910000,387917
2023-05-01,2.020000,3.970000,1.460000,2.090000,2.090000,11073300
2023-06-01,2.050000,2.500000,2.010000,2.340000,2.340000,193800
2023-07-01,2.180000,2.400000,1.677000,2.010000,2.010000,168500
2023-08-01,2.010000,5.040000,1.900000,3.390000,3.390000,871400
2023-09-01,3.340000,3.928000,2.270000,2.691000,2.691000,207500
2023-10-01,2.580000,2.790000,1.910000,2.076000,2.076000,44400
