Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,20.000000,20.500000,17.580000,19.610001,17.660696,5319800
2021-08-01,19.629999,24.660000,18.100000,22.690001,20.434534,7321300
2021-09-01,22.770000,24.730000,18.430000,19.049999,17.156361,16478100
2021-10-01,19.240000,22.480000,18.660000,18.700001,16.841154,6551100
2021-11-01,18.700001,24.600000,17.230000,17.340000,15.616343,28529600
2021-12-01,17.680000,19.254999,16.385000,19.040001,17.147358,14690300
2022-01-01,19.110001,19.389999,15.550000,16.920000,15.238091,6923400
2022-02-01,17.030001,18.004999,14.760000,16.150000,14.544632,7015500
2022-03-01,16.340000,21.011999,15.000000,20.190001,18.183043,11016900
2022-04-01,20.219999,20.980000,17.190001,17.360001,15.634355,5476100
2022-05-01,17.299999,17.879999,14.110000,14.600000,13.148708,11971600
2022-06-01,14.770000,15.060000,12.050000,12.670000,11.410557,12769300
2022-07-01,12.610000,14.195000,11.680000,14.030000,12.635367,8269600
2022-08-01,13.940000,15.885000,12.770000,13.840000,12.464255,8405000
2022-09-01,14.040000,15.120000,12.570000,12.830000,11.554652,8553600
2022-10-01,13.080000,14.830000,12.400000,14.050000,12.653380,11236500
2022-11-01,14.200000,14.360000,10.070000,13.300000,11.977933,16012100
2022-12-01,13.370000,14.290000,12.450000,13.000000,11.707754,6396600
2023-01-01,13.200000,13.910000,11.900000,13.880000,12.500278,6119800
2023-02-01,13.810000,14.660000,13.140000,14.510000,13.067655,5811300
2023-03-01,13.700000,14.450000,12.830000,13.960000,12.572327,7968000
2023-04-01,13.970000,14.000000,12.540000,12.860000,11.581670,5459200
2023-05-01,12.860000,13.680000,12.100000,13.510000,12.167058,6303200
2023-06-01,13.480000,15.670000,13.290000,15.410000,13.878191,8538000
2023-07-01,15.280000,15.890000,14.740000,15.000000,13.508946,5181800
2023-08-01,14.960000,15.710000,13.370000,13.950000,12.563320,7778500
2023-09-01,14.000000,14.690000,13.140000,13.790000,13.790000,6358100
2023-10-01,13.700000,14.470000,13.600000,13.870000,13.870000,1967600
