Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,55936.000000,56608.000000,40256.000000,43104.000000,41085.636719,444115
2010-04-01,42112.000000,42848.000000,34496.000000,39168.000000,37333.949219,519726
2010-05-01,38176.000000,57536.000000,36928.000000,47776.000000,45538.863281,619886
2010-06-01,49376.000000,57920.000000,43520.000000,55744.000000,53133.757813,432253
2010-07-01,55872.000000,60768.000000,41600.000000,44224.000000,42153.187500,396614
2010-08-01,42560.000000,56800.000000,41152.000000,53536.000000,51029.148438,284777
2010-09-01,51584.000000,51712.000000,39200.000000,42816.000000,40811.117188,309484
2010-10-01,41664.000000,43168.000000,37824.000000,40288.000000,38401.492188,288265
2010-11-01,40128.000000,41280.000000,32672.000000,40192.000000,38309.984375,250844
2010-12-01,38560.000000,38976.000000,29824.000000,30240.000000,28823.998047,163402
2011-01-01,29152.000000,29728.000000,26272.000000,27424.000000,26139.859375,166711
2011-02-01,26976.000000,27155.199219,23712.000000,24672.000000,23516.724609,176199
2011-03-01,24563.199219,29254.400391,24556.800781,25740.800781,24535.476563,511463
2011-04-01,25254.400391,27929.599609,24172.800781,25120.000000,23943.744141,220355
2011-05-01,24908.800781,29408.000000,24819.199219,26892.800781,25633.533203,275767
2011-06-01,27180.800781,33446.398438,27155.199219,28646.400391,27305.021484,402725
2011-07-01,28748.800781,32748.800781,26470.400391,30988.800781,29537.736328,362363
2011-08-01,29523.199219,52160.000000,29478.400391,32825.601563,31288.529297,854617
2011-09-01,32921.601563,47609.601563,32518.400391,42220.800781,40243.789063,762113
2011-10-01,43193.601563,51968.000000,22425.599609,25459.199219,24267.058594,816216
2011-11-01,28736.000000,35161.601563,23993.599609,26451.199219,25212.609375,822313
2011-12-01,27046.400391,28800.000000,22976.000000,23904.000000,22784.679688,669015
2012-01-01,22400.000000,23462.400391,18163.199219,19136.000000,18239.947266,579937
2012-02-01,18694.400391,18720.000000,15680.000000,16332.799805,15568.008789,515872
2012-03-01,16147.200195,17280.000000,12748.799805,13216.000000,12597.155273,553452
2012-04-01,13312.000000,15219.200195,12768.000000,13555.200195,12920.471680,426688
2012-05-01,13561.599609,18592.000000,12832.000000,17286.400391,16476.957031,634931
2012-06-01,18240.000000,19840.000000,14489.599609,14496.000000,13817.217773,574709
2012-07-01,14336.000000,15878.400391,13702.400391,14156.799805,13493.900391,394876
2012-08-01,14016.000000,15008.000000,12505.599609,12915.200195,12310.440430,307770
2012-09-01,12979.200195,13094.400391,10265.599609,11660.799805,11114.778320,278541
2012-10-01,11436.799805,11641.599609,10182.400391,11072.000000,10553.548828,329979
2012-11-01,11020.799805,12659.200195,10457.599609,10969.599609,10455.943359,373564
2012-12-01,10860.799805,11296.000000,9388.799805,9670.400391,9217.579102,258958
2013-01-01,9056.000000,9113.599609,7910.399902,8032.000000,7655.896973,224978
2013-02-01,7904.000000,8115.200195,7276.799805,7609.600098,7253.277344,261307
2013-03-01,7737.600098,7859.200195,6585.600098,6713.600098,6399.232422,291886
2013-04-01,6713.600098,7139.200195,6131.200195,6134.399902,5847.153809,1259008
2013-05-01,6195.200195,6344.000000,4840.000000,5272.000000,5025.136719,927721
2013-06-01,5216.000000,6163.200195,5096.000000,5376.000000,5124.266602,1210146
2013-07-01,5280.000000,5424.000000,4326.399902,4622.399902,4405.953613,701736
2013-08-01,4496.000000,5336.000000,4380.799805,5286.399902,5038.860840,835035
2013-09-01,5105.600098,5272.000000,4281.600098,4755.200195,4532.535645,792159
2013-10-01,4745.600098,5057.600098,3976.000000,4203.200195,4006.383789,1020116
2013-11-01,4192.000000,4323.200195,3678.399902,3732.800049,3558.010010,530993
2013-12-01,3732.800049,3928.000000,3433.600098,3440.000000,3278.920654,524572
2014-01-01,3464.000000,3881.600098,3315.199951,3774.399902,3597.662109,745836
2014-02-01,3776.000000,4056.000000,3328.000000,3372.800049,3214.867188,691054
2014-03-01,3476.800049,3521.600098,2987.199951,3118.399902,2972.379639,944614
2014-04-01,3083.199951,3585.600098,3038.399902,3225.600098,3074.560059,819501
2014-05-01,3230.399902,3363.199951,3041.600098,3057.600098,2914.426758,496165
2014-06-01,3041.600098,3086.399902,2788.800049,2838.399902,2705.490723,378658
2014-07-01,2824.000000,2929.600098,2702.399902,2928.000000,2790.895508,468486
2014-08-01,2947.199951,3048.000000,2563.199951,2593.600098,2472.153564,428616
2014-09-01,2576.000000,2704.000000,2446.399902,2662.399902,2537.731689,413386
2014-10-01,2675.199951,3185.600098,2328.000000,2334.399902,2225.090576,881588
2014-11-01,2336.000000,2363.199951,2131.199951,2156.800049,2055.807129,248268
2014-12-01,2193.600098,2347.199951,1929.599976,2027.199951,1932.275391,399559
2015-01-01,2006.400024,2382.399902,1984.000000,2348.800049,2238.816406,564812
2015-02-01,2323.199951,2400.000000,1934.400024,1988.800049,1895.673706,323266
2015-03-01,1990.400024,2108.800049,1844.800049,1980.800049,1888.048218,371613
2015-04-01,1980.800049,2027.199951,1894.400024,1971.199951,1878.897583,306548
2015-05-01,1947.199951,1990.400024,1761.599976,1851.199951,1764.516602,380982
2015-06-01,1820.800049,1886.400024,1694.400024,1857.599976,1770.617065,395980
2015-07-01,1790.400024,1900.800049,1612.800049,1660.800049,1583.032471,389214
2015-08-01,1662.400024,2368.000000,1619.199951,1961.599976,1869.746948,528667
2015-09-01,2099.199951,2195.199951,1849.599976,2059.199951,1962.776978,618267
2015-10-01,2060.000000,2209.600098,1589.199951,1675.599976,1597.139526,695054
2015-11-01,1667.599976,1733.199951,1520.000000,1576.800049,1502.965576,468227
2015-12-01,1562.400024,1823.599976,1522.400024,1647.199951,1570.068970,589361
2016-01-01,1746.000000,2469.600098,1707.599976,2064.399902,1967.733643,996457
2016-02-01,2094.000000,2736.800049,2029.199951,2140.000000,2039.793213,728002
2016-03-01,2090.399902,2096.800049,1662.400024,1699.199951,1619.634399,691094
2016-04-01,1730.400024,1829.599976,1462.800049,1545.199951,1472.845093,826172
2016-05-01,1531.599976,1611.199951,1400.400024,1428.800049,1361.895752,889175
2016-06-01,1453.599976,1836.800049,1406.800049,1508.400024,1437.768677,1514747
2016-07-01,1525.199951,1628.400024,1324.400024,1340.800049,1278.016602,1010738
2016-08-01,1340.800049,1393.199951,1216.800049,1219.199951,1162.110474,871123
2016-09-01,1213.599976,1330.000000,1200.000000,1272.800049,1213.200562,1074773
2016-10-01,1280.400024,1336.400024,1221.199951,1253.599976,1194.899658,739738
2016-11-01,1248.400024,1339.599976,956.000000,973.599976,928.010742,1059260
2016-12-01,964.799988,975.200012,835.599976,868.799988,828.118042,816205
2017-01-01,841.200012,883.200012,806.400024,848.799988,809.054504,895304
2017-02-01,834.799988,870.000000,722.000000,729.200012,695.054932,892139
2017-03-01,699.599976,837.599976,680.000000,774.000000,737.757080,1337509
2017-04-01,775.200012,828.400024,731.200012,771.200012,735.088318,1093338
2017-05-01,764.000000,817.200012,744.000000,776.799988,740.425964,807872
2017-06-01,769.200012,780.400024,644.400024,677.200012,645.489807,833367
2017-07-01,668.400024,682.000000,623.599976,635.599976,605.837769,482493
2017-08-01,627.200012,674.000000,611.599976,648.400024,618.038391,636959
2017-09-01,644.000000,694.400024,582.000000,583.200012,555.891418,584858
2017-10-01,582.000000,582.400024,529.200012,538.000000,512.807861,495676
2017-11-01,532.400024,558.799988,474.799988,489.600006,466.674255,580933
2017-12-01,488.799988,515.599976,454.399994,467.600006,445.704376,627679
2018-01-01,463.200012,475.200012,388.399994,404.399994,385.463745,753539
2018-02-01,406.799988,535.599976,397.600006,431.600006,411.390106,1639910
2018-03-01,430.799988,494.399994,389.600006,452.799988,431.597412,1395689
2018-04-01,455.600006,495.200012,430.799988,450.399994,429.925751,1620017
2018-05-01,450.399994,483.200012,404.000000,439.600006,419.616699,1062963
2018-06-01,428.000000,458.000000,396.799988,443.200012,423.053070,889421
2018-07-01,451.200012,451.200012,383.200012,398.799988,380.671356,752166
2018-08-01,396.399994,404.000000,360.000000,368.799988,352.035126,721059
2018-09-01,370.399994,390.000000,352.000000,388.399994,370.744080,472857
2018-10-01,382.799988,503.600006,376.799988,449.600006,430.141846,1879658
2018-11-01,444.000000,466.000000,397.600006,410.799988,393.021057,1500275
2018-12-01,395.200012,679.599976,392.399994,542.799988,519.308289,2714250
2019-01-01,566.000000,572.400024,406.799988,413.200012,396.450684,1466225
2019-02-01,412.000000,425.600006,369.600006,378.000000,362.677551,865677
2019-03-01,371.600006,410.799988,352.000000,378.000000,362.677551,1598507
2019-04-01,371.200012,371.600006,312.799988,314.000000,302.182434,1130544
2019-05-01,312.000000,364.799988,311.200012,361.200012,347.606018,1358349
2019-06-01,362.000000,368.000000,304.399994,308.320007,296.716187,1020350
2019-07-01,299.200012,303.839996,274.320007,285.200012,274.466370,1466393
2019-08-01,284.559998,337.600006,280.160004,300.000000,288.709320,2349280
2019-09-01,305.519989,310.000000,266.880005,276.880005,266.459473,1306244
2019-10-01,275.119995,316.000000,255.520004,261.440002,253.370468,2219041
2019-11-01,257.679993,258.239990,232.880005,234.880005,227.630249,796593
2019-12-01,234.240005,251.600006,220.000000,221.759995,214.915207,1031103
2020-01-01,219.440002,227.039993,204.639999,222.880005,216.564041,1370782
2020-02-01,220.000000,315.279999,191.199997,294.320007,285.979584,2550255
2020-03-01,291.440002,621.119995,243.440002,303.760010,295.152100,8123481
2020-04-01,350.239990,371.600006,173.199997,190.240005,184.960495,16519130
2020-05-01,204.399994,251.440002,147.199997,156.479996,152.137375,14752392
2020-06-01,156.479996,157.679993,109.919998,141.679993,137.748123,20395167
2020-07-01,140.960007,150.320007,119.360001,123.599998,120.169868,14525055
2020-08-01,122.400002,125.040001,104.320000,108.239998,105.236137,6168394
2020-09-01,108.559998,139.600006,99.839996,121.040001,117.680916,10767768
2020-10-01,119.440002,127.199997,99.360001,117.519997,114.258598,9254105
2020-11-01,113.839996,116.320000,64.720001,70.320000,68.368484,13358593
2020-12-01,66.559998,67.839996,57.680000,57.840000,56.234837,7500092
2021-01-01,57.119999,61.599998,46.560001,58.959999,57.323750,10885053
2021-02-01,57.599998,58.720001,36.880001,42.000000,40.834423,10427355
2021-03-01,40.000000,40.830002,31.670000,34.750000,33.785625,25469425
2021-04-01,34.770000,34.799999,27.750000,28.590000,27.796576,16490800
2021-05-01,27.870001,29.000000,24.420000,24.850000,24.160368,25031600
2021-06-01,24.340000,30.900000,23.850000,26.799999,26.056250,25361500
2021-07-01,26.500000,30.719999,25.559999,26.480000,25.745131,36966900
2021-08-01,26.150000,27.290001,21.480000,22.389999,21.768635,37817700
