Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,14.190000,15.630000,13.390000,13.520000,10.191924,917600
2010-04-01,13.570000,16.420000,13.270000,16.309999,12.366215,1383200
2010-05-01,16.340000,16.709999,14.290000,16.139999,12.237316,1265100
2010-06-01,16.020000,16.799999,14.480000,14.490000,10.986289,1081000
2010-07-01,14.450000,16.900000,13.750000,16.690001,12.721235,910900
2010-08-01,16.889999,16.889999,12.010000,12.140000,9.253194,909700
2010-09-01,12.320000,13.690000,12.000000,13.620000,10.381258,579500
2010-10-01,13.640000,14.150000,12.730000,13.390000,10.268615,478800
2010-11-01,13.450000,14.500000,13.150000,14.490000,11.112189,456400
2010-12-01,14.500000,15.830000,13.690000,15.310000,11.741036,673400
2011-01-01,15.520000,16.889999,14.990000,15.030000,11.587861,784000
2011-02-01,15.200000,15.550000,14.040000,14.740000,11.364279,392800
2011-03-01,14.720000,14.780000,12.360000,13.260000,10.223226,635300
2011-04-01,13.320000,14.080000,12.780000,13.980000,10.845592,549100
2011-05-01,13.830000,14.000000,11.280000,11.940000,9.262973,516500
2011-06-01,11.920000,11.920000,9.820000,10.240000,7.944124,779700
2011-07-01,10.290000,11.870000,9.740000,9.850000,7.699676,757500
2011-08-01,10.000000,10.430000,8.050000,9.750000,7.621504,1044600
2011-09-01,9.760000,10.500000,8.400000,10.040000,7.848198,1080700
2011-10-01,9.890000,13.780000,9.360000,12.680000,9.994121,963700
2011-11-01,10.160000,11.920000,9.590000,11.780000,9.284760,930600
2011-12-01,11.660000,11.820000,10.360000,11.150000,8.788206,837400
2012-01-01,11.300000,11.840000,10.950000,11.640000,9.238855,622100
2012-02-01,11.450000,11.570000,10.000000,10.000000,7.937160,605300
2012-03-01,10.130000,11.460000,9.440000,10.930000,8.675315,563500
2012-04-01,10.850000,11.490000,9.630000,10.020000,8.010199,708100
2012-05-01,10.020000,10.250000,8.600000,9.290000,7.426621,1020100
2012-06-01,8.980000,9.310000,8.480000,8.890000,7.106853,1111700
2012-07-01,8.970000,9.430000,8.320000,8.520000,6.873913,644800
2012-08-01,8.570000,10.000000,7.680000,9.930000,8.011497,653800
2012-09-01,10.000000,11.750000,9.690000,11.530000,9.302374,690200
2012-10-01,11.600000,11.750000,10.030000,10.450000,8.489383,529100
2012-11-01,10.350000,11.350000,9.520000,11.140000,9.049925,811600
2012-12-01,11.230000,13.400000,10.900000,12.820000,10.414721,1124900
2013-01-01,13.190000,13.780000,12.250000,12.700000,10.383055,1439100
2013-02-01,12.760000,13.750000,12.260000,13.340000,10.906300,1046200
2013-03-01,13.170000,13.990000,13.000000,13.490000,11.028931,753200
2013-04-01,13.480000,13.750000,11.980000,13.010000,10.698977,763000
2013-05-01,12.910000,15.570000,12.740000,14.250000,11.718707,681500
2013-06-01,13.760000,14.890000,13.410000,14.100000,11.595356,923500
2013-07-01,14.190000,16.450001,14.140000,15.830000,13.092864,836900
2013-08-01,15.900000,16.000000,12.330000,14.060000,11.628908,468100
2013-09-01,14.280000,15.970000,13.670000,14.450000,11.951475,540300
2013-10-01,14.480000,15.990000,13.550000,14.980000,12.456094,630900
2013-11-01,14.940000,17.389999,14.260000,17.080000,14.202273,545000
2013-12-01,17.010000,17.240000,15.410000,16.620001,13.819777,656900
2014-01-01,16.500000,17.700001,15.910000,17.230000,14.395102,782900
2014-02-01,17.270000,18.680000,17.000000,18.299999,15.289050,743800
2014-03-01,18.139999,19.650000,17.820000,19.000000,15.873880,851300
2014-04-01,19.000000,19.250000,16.860001,17.209999,14.439610,1179600
2014-05-01,17.230000,18.809999,16.480000,18.080000,15.169563,887900
2014-06-01,17.940001,18.670000,17.090000,18.350000,15.396100,889700
2014-07-01,18.440001,18.820000,16.010000,16.080000,13.550913,574600
2014-08-01,16.139999,17.850000,15.870000,17.770000,14.975107,644900
2014-09-01,17.770000,17.940001,16.020000,16.020000,13.500351,536700
2014-10-01,16.000000,18.250000,15.550000,18.120001,15.345374,828300
2014-11-01,18.219999,18.219999,17.010000,17.080000,14.464625,491300
2014-12-01,17.150000,18.860001,16.760000,18.469999,15.641777,641300
2015-01-01,18.639999,18.639999,15.000000,16.600000,14.118299,636700
2015-02-01,16.700001,17.670000,16.350000,17.580000,14.951789,539400
2015-03-01,17.610001,17.950001,16.219999,17.559999,14.934776,651100
2015-04-01,17.420000,17.850000,15.840000,16.230000,13.866786,447400
2015-05-01,16.250000,16.430000,15.410000,15.770000,13.473770,586000
2015-06-01,15.940000,17.049999,15.180000,16.680000,14.251266,943800
2015-07-01,16.680000,17.480000,16.010000,17.070000,14.653929,607800
2015-08-01,17.020000,17.459999,16.270000,17.020000,14.611009,797300
2015-09-01,16.760000,17.860001,16.490000,17.000000,14.593829,641400
2015-10-01,16.930000,19.260000,16.010000,18.530001,15.982494,870900
2015-11-01,18.520000,19.799999,18.290001,19.490000,16.810511,583200
2015-12-01,19.500000,19.920000,17.840000,18.740000,16.163622,724300
2016-01-01,18.600000,19.299999,17.830000,18.750000,16.240553,1118300
2016-02-01,18.650000,19.000000,18.100000,18.490000,16.015354,889700
2016-03-01,18.570000,19.590000,18.450001,18.850000,16.327173,678600
2016-04-01,18.719999,21.040001,18.240000,20.400000,17.744801,2341300
2016-05-01,20.400000,21.940001,18.610001,19.730000,17.162003,630400
2016-06-01,19.650000,19.670000,17.150000,17.580000,15.291840,1410800
2016-07-01,17.520000,18.770000,17.420000,18.719999,16.357222,986400
2016-08-01,18.650000,20.219999,18.209999,20.049999,17.519358,872600
2016-09-01,20.000000,20.330000,19.209999,19.790001,17.292173,857400
2016-10-01,19.660000,20.500000,19.180000,19.770000,17.344635,703800
2016-11-01,19.750000,25.790001,19.500000,25.000000,21.933027,2959100
2016-12-01,25.170000,28.490000,24.889999,27.139999,23.810492,2840500
2017-01-01,27.440001,30.000000,26.469999,29.270000,25.752766,2527200
2017-02-01,29.360001,31.309999,29.270000,30.049999,26.439032,1222900
2017-03-01,30.490000,30.930000,27.690001,29.290001,25.770363,1689200
2017-04-01,29.299999,32.270000,27.950001,30.040001,26.503201,1867800
2017-05-01,30.340000,30.549999,27.500000,27.760000,24.491634,3354500
2017-06-01,27.799999,31.879999,27.650000,31.260000,27.579561,2547000
2017-07-01,31.350000,32.990002,30.450001,31.299999,27.687952,1136100
2017-08-01,31.590000,32.090000,29.730000,30.940001,27.369495,1609400
2017-09-01,30.760000,34.849998,29.809999,34.410000,30.439049,1625600
2017-10-01,34.599998,37.419998,34.450001,36.700001,32.541878,1989700
2017-11-01,36.980000,39.110001,34.080002,37.900002,33.605919,1772200
2017-12-01,37.880001,41.759998,34.970001,35.310001,31.309361,2998800
2018-01-01,35.279999,37.380001,35.180000,36.400002,32.348782,1997900
2018-02-01,36.439999,37.470001,33.880001,34.630001,30.775784,1730900
2018-03-01,34.560001,37.849998,34.139999,35.650002,31.682259,1948400
2018-04-01,35.639999,39.990002,34.700001,38.150002,33.999573,1612900
2018-05-01,38.160000,42.009998,37.580002,41.610001,37.083160,2045000
2018-06-01,41.820000,42.939999,40.869999,40.910000,36.459312,2514900
2018-07-01,40.669998,43.130001,40.279999,41.419998,37.003788,2062400
2018-08-01,41.520000,43.139999,40.750000,41.720001,37.271809,1631700
2018-09-01,41.610001,42.160000,39.320000,40.509998,36.190823,2199800
2018-10-01,40.619999,41.740002,34.279999,36.889999,33.040005,3677500
2018-11-01,36.889999,40.240002,36.630001,40.020000,35.843346,1709200
2018-12-01,40.160000,40.470001,30.500000,32.660000,29.251465,2033100
2019-01-01,32.320000,38.509998,31.219999,36.770000,33.034653,3499400
2019-02-01,36.959999,39.820000,36.560001,39.189999,35.208809,1543900
2019-03-01,39.380001,39.380001,33.340000,34.759998,31.228846,1831600
2019-04-01,35.049999,38.959999,34.970001,37.910000,34.177750,1414700
2019-05-01,38.029999,39.490002,35.160000,35.410000,31.923883,1763700
2019-06-01,35.360001,36.820000,33.990002,36.419998,32.834442,1946800
2019-07-01,36.669998,37.650002,34.320000,36.939999,33.415661,1525400
2019-08-01,36.889999,37.470001,34.130001,35.220001,31.859766,1520400
2019-09-01,34.950001,37.500000,34.240002,35.900002,32.474888,1795700
2019-10-01,36.119999,38.220001,34.509998,37.750000,34.261776,1678700
2019-11-01,37.869999,39.660000,37.820000,39.099998,35.487022,1421300
2019-12-01,39.299999,41.340000,38.400002,39.910000,36.222172,1665700
2020-01-01,39.950001,40.000000,34.740002,35.480000,32.346691,1979600
2020-02-01,35.619999,37.590000,31.650000,32.099998,29.265179,1540400
2020-03-01,31.760000,33.740002,17.320000,23.080000,21.041756,3386200
2020-04-01,22.490000,29.650000,20.070000,26.590000,24.450565,2404100
2020-05-01,25.709999,28.030001,19.260000,25.420000,23.374704,1843800
2020-06-01,25.549999,29.639999,22.250000,25.080000,23.062061,2840800
2020-07-01,25.120001,25.200001,20.200001,20.660000,19.149338,3785700
2020-08-01,20.740000,23.980000,20.100000,20.450001,18.954691,2535800
2020-09-01,20.290001,21.719999,19.600000,20.930000,19.399593,3762500
2020-10-01,20.830000,24.879999,20.440001,24.090000,22.518833,2632400
2020-11-01,24.500000,34.779999,23.510000,31.379999,29.333374,12486400
2020-12-01,32.180000,34.380001,31.080000,33.830002,31.623592,3823900
2021-01-01,34.150002,37.599998,32.470001,34.060001,32.011932,2556700
2021-02-01,34.259998,42.049999,33.500000,40.270000,37.848515,2195500
2021-03-01,41.180000,48.830002,38.930000,43.500000,40.884300,2926300
2021-04-01,43.200001,44.689999,39.320000,42.400002,40.034550,1606000
2021-05-01,43.090000,45.869999,41.410000,44.369999,41.894646,1483200
2021-06-01,44.610001,45.660000,40.000000,40.910000,38.627670,5542100
2021-07-01,40.869999,41.450001,37.599998,40.000000,37.950939,2630000
2021-08-01,40.209999,43.240002,39.540001,41.759998,39.620781,1924700
2021-09-01,41.869999,44.169998,38.610001,43.009998,40.806747,2351200
2021-10-01,43.060001,50.349998,42.020000,48.419998,46.154934,8585800
2021-11-01,48.630001,50.919998,44.250000,44.439999,42.361118,4063900
2021-12-01,45.060001,46.610001,41.840000,45.720001,43.581242,4520300
2022-01-01,46.020000,48.959999,41.980000,43.910000,42.039375,2836000
2022-02-01,43.840000,46.340000,41.650002,44.880001,42.968048,3065200
2022-03-01,44.349998,44.959999,41.230000,41.770000,39.990540,3733000
2022-04-01,42.230000,42.500000,37.099998,37.459999,36.045906,4006500
2022-05-01,37.500000,38.750000,35.500000,37.470001,36.055531,2901500
2022-06-01,37.709999,38.230000,33.869999,34.900002,33.582550,3394400
2022-07-01,34.639999,38.169998,32.900002,37.880001,36.679562,2499200
2022-08-01,36.860001,39.880001,35.450001,36.410000,35.256142,3262400
2022-09-01,36.259998,39.740002,34.939999,36.580002,35.420765,3675500
2022-10-01,37.130001,44.900002,36.650002,44.570000,43.408466,2773100
2022-11-01,44.939999,49.000000,42.790001,48.630001,47.362659,2826900
2022-12-01,48.549999,48.590000,40.889999,42.840000,41.723553,2779600
2023-01-01,43.020000,43.290001,37.189999,39.849998,39.012096,3122700
2023-02-01,39.639999,43.470001,39.320000,41.490002,40.617615,3648700
2023-03-01,41.160000,41.900002,34.459999,35.520000,34.773144,8643300
2023-04-01,35.730000,36.000000,29.139999,30.780001,30.317415,3784100
2023-05-01,30.670000,32.669998,26.260000,30.100000,29.647633,4216800
2023-06-01,30.370001,35.720001,29.750000,29.750000,29.302895,4409500
2023-07-01,29.750000,35.810001,28.990000,33.080002,32.820366,3067400
2023-08-01,33.020000,34.130001,28.940001,29.639999,29.407362,2996400
2023-09-01,29.830000,30.610001,26.920000,28.139999,27.919136,3712600
2023-10-01,28.100000,28.760000,26.920000,27.299999,27.299999,1599600
