Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,10.500000,11.300000,10.010000,10.010000,5.740852,7700
2010-04-01,10.090000,10.500000,10.000000,10.250000,5.962513,8400
2010-05-01,10.490000,10.500000,10.200000,10.250000,5.962513,1600
2010-06-01,10.250000,10.990000,9.850000,10.250000,6.054063,11400
2010-07-01,10.250000,10.250000,7.750000,8.250000,4.872784,21000
2010-08-01,8.250000,10.100000,8.250000,9.600000,5.670150,5900
2010-09-01,9.600000,10.100000,9.500000,10.010000,6.005392,4900
2010-10-01,10.010000,10.250000,9.550000,10.250000,6.149379,3600
2010-11-01,10.250000,11.010000,10.250000,10.500000,6.299366,10500
2010-12-01,10.500000,11.000000,10.500000,10.950000,6.667767,4200
2011-01-01,11.000000,11.000000,10.350000,10.750000,6.545980,4100
2011-02-01,10.750000,11.000000,10.500000,10.840000,6.600784,7300
2011-03-01,10.840000,12.000000,10.500000,11.000000,6.793945,7000
2011-04-01,11.000000,11.000000,10.250000,10.500000,6.485130,4000
2011-05-01,10.500000,11.000000,10.250000,10.500000,6.485130,3300
2011-06-01,10.500000,11.000000,10.500000,10.500000,6.582298,1100
2011-07-01,10.100000,10.100000,8.000000,9.000000,5.641970,17900
2011-08-01,9.000000,9.880000,9.000000,9.880000,6.193628,5800
2011-09-01,9.880000,10.250000,9.000000,9.500000,6.051616,4800
2011-10-01,9.500000,9.990000,8.000000,8.520000,5.427347,2600
2011-11-01,10.000000,10.500000,9.010000,10.500000,6.688631,16000
2011-12-01,10.500000,11.000000,10.000000,10.000000,6.470414,7800
2012-01-01,10.000000,10.250000,9.750000,10.250000,6.632176,6300
2012-02-01,10.250000,11.250000,10.250000,11.250000,7.279217,4000
2012-03-01,11.250000,12.000000,11.200000,11.250000,7.279217,17300
2012-04-01,11.250000,11.250000,11.000000,11.250000,7.380908,2600
2012-05-01,11.250000,11.250000,10.420000,10.750000,7.052867,5300
2012-06-01,10.750000,11.000000,10.500000,10.840000,7.215961,13400
2012-07-01,10.840000,11.250000,10.840000,10.850000,7.222616,5000
2012-08-01,10.850000,11.000000,10.510000,10.540000,7.016257,5600
2012-09-01,10.750000,11.000000,10.740000,10.900000,7.362049,6200
2012-10-01,10.900000,11.000000,10.900000,11.000000,7.429595,14000
2012-11-01,11.000000,11.300000,11.000000,11.150000,7.530906,5500
2012-12-01,11.150000,11.500000,11.000000,11.110000,7.609674,17500
2013-01-01,11.110000,11.750000,11.110000,11.750000,8.048033,3100
2013-02-01,11.750000,12.000000,11.750000,12.000000,8.219268,4400
2013-03-01,12.000000,12.500000,11.800000,11.810000,8.194983,10600
2013-04-01,11.810000,12.740000,11.810000,12.740000,8.840315,45600
2013-05-01,12.740000,13.140000,12.000000,12.500000,8.673776,4600
2013-06-01,12.500000,14.000000,12.500000,13.000000,9.133986,1700
2013-07-01,13.000000,14.500000,13.000000,14.200000,9.977123,1500
2013-08-01,14.200000,14.300000,13.380000,13.380000,9.400979,2500
2013-09-01,13.380000,14.500000,13.340000,13.500000,9.596464,20900
2013-10-01,13.750000,14.200000,13.500000,13.800000,9.809720,11400
2013-11-01,13.950000,14.000000,13.600000,14.000000,9.951893,4900
2013-12-01,14.000000,19.500000,14.000000,15.250000,10.961813,3700
2014-01-01,15.250000,15.250000,13.510000,13.510000,9.711087,4000
2014-02-01,13.510000,14.400000,13.510000,13.990000,10.056115,1700
2014-03-01,14.000000,14.750000,14.000000,14.390000,10.343641,7200
2014-04-01,14.390000,14.750000,14.350000,14.750000,10.721109,700
2014-05-01,14.750000,14.750000,13.510000,14.000000,10.175968,11800
2014-06-01,14.000000,14.200000,13.510000,14.200000,10.436890,5700
2014-07-01,14.050000,14.500000,14.000000,14.500000,10.657387,9700
2014-08-01,14.250000,15.490000,14.250000,15.010000,11.032235,3400
2014-09-01,15.010000,15.250000,14.750000,15.000000,11.139921,1400
2014-10-01,15.000000,15.000000,14.250000,14.250000,10.582924,5600
2014-11-01,14.250000,15.000000,14.250000,15.000000,11.139921,1600
2014-12-01,15.000000,16.000000,14.990000,15.000000,11.256232,7400
2015-01-01,15.000000,15.000000,14.750000,14.750000,11.068630,1500
2015-02-01,14.750000,15.000000,14.750000,14.750000,11.068630,1200
2015-03-01,14.750000,17.000000,14.750000,15.010000,11.383361,7500
2015-04-01,15.010000,16.000000,14.010000,16.000000,12.134163,9500
2015-05-01,16.000000,16.000000,15.490000,15.500000,11.754971,2700
2015-06-01,15.500000,16.500000,14.750000,15.500000,11.873706,4600
2015-07-01,16.500000,17.000000,15.500000,17.000000,13.022771,6100
2015-08-01,17.000000,17.000000,16.500000,16.500000,12.639751,400
2015-09-01,16.500000,17.500000,16.500000,17.000000,13.146269,4500
2015-10-01,17.000000,17.500000,17.000000,17.500000,13.532925,3200
2015-11-01,17.500000,18.000000,17.110001,17.500000,13.532925,1800
2015-12-01,17.500000,19.750000,17.500000,17.750000,13.845474,5100
2016-01-01,17.500000,17.500000,16.600000,16.750000,13.065450,3100
2016-02-01,16.750000,16.799999,16.100000,16.100000,12.558433,2400
2016-03-01,16.100000,16.250000,15.100000,15.750000,12.404847,27300
2016-04-01,15.750000,16.950001,15.750000,16.250000,12.798653,24700
2016-05-01,16.250000,16.350000,15.600000,16.000000,12.601749,13200
2016-06-01,15.990000,16.500000,15.990000,16.400000,13.043147,4100
2016-07-01,16.010000,16.010000,15.410000,16.000000,12.725022,7800
2016-08-01,16.000000,16.950001,15.500000,15.850000,12.605726,5900
2016-09-01,15.850000,16.889999,15.850000,16.500000,13.251050,8000
