Date,Open,High,Low,Close,Adj Close,Volume
2011-07-01,14.920000,15.430000,13.000000,13.000000,3.617644,334400
2011-08-01,13.500000,14.020000,10.020000,13.230000,3.681649,402800
2011-09-01,13.050000,13.870000,10.680000,12.590000,3.503550,702000
2011-10-01,12.660000,13.690000,11.500000,13.000000,3.705015,434700
2011-11-01,12.550000,13.000000,11.860000,12.500000,3.562513,399700
2011-12-01,12.440000,13.830000,12.000000,12.970000,3.696462,678200
2012-01-01,13.000000,14.490000,12.720000,13.670000,3.999942,590300
2012-02-01,13.610000,14.480000,13.350000,14.190000,4.152099,529600
2012-03-01,14.170000,14.420000,12.960000,14.010000,4.099429,945800
2012-04-01,13.930000,14.110000,13.300000,13.560000,4.066951,429600
2012-05-01,13.520000,14.090000,13.140000,13.750000,4.123936,806600
2012-06-01,13.570000,15.290000,13.500000,15.170000,4.549826,1799800
2012-07-01,15.270000,16.809999,14.500000,15.280000,4.700494,910800
2012-08-01,15.420000,16.360001,15.000000,16.350000,5.029650,1167900
2012-09-01,16.240000,16.850000,15.950000,16.700001,5.137319,2527700
2012-10-01,16.850000,17.049999,16.120001,16.799999,5.287829,1062500
2012-11-01,16.900000,17.000000,12.360000,17.000000,5.350781,2068500
2012-12-01,16.900000,16.950001,15.400000,16.450001,5.177666,1091500
2013-01-01,16.840000,18.090000,16.250000,17.930000,5.776534,1298000
2013-02-01,18.000000,18.600000,17.400000,18.000000,5.799088,2148700
2013-03-01,17.969999,19.340000,17.570000,19.150000,6.169582,2148800
2013-04-01,19.180000,19.490000,15.870000,18.799999,6.180964,2093200
2013-05-01,19.200001,19.389999,17.889999,19.020000,6.253299,1585300
2013-06-01,19.059999,19.690001,17.510000,18.709999,6.151378,1411900
2013-07-01,18.730000,19.680000,18.240000,19.440001,6.524462,999800
2013-08-01,19.590000,19.940001,18.549999,18.740000,6.289527,901500
2013-09-01,18.959999,19.900000,18.770000,19.400000,6.511039,1052400
2013-10-01,19.340000,21.040001,18.500000,20.309999,6.966187,1096600
2013-11-01,20.260000,22.180000,19.670000,21.709999,7.446373,1387100
2013-12-01,21.719999,22.410000,18.570000,21.740000,7.456665,1955000
2014-01-01,22.500000,22.500000,20.430000,20.770000,7.386787,1127600
2014-02-01,20.680000,21.600000,19.420000,20.990000,7.465030,923700
2014-03-01,20.879999,22.450001,17.570000,19.309999,6.867543,2843800
2014-04-01,19.270000,19.840000,17.910000,18.320000,6.640057,1863700
2014-05-01,18.379999,18.809999,16.070000,18.379999,6.661806,2138100
2014-06-01,18.330000,21.129999,17.870001,20.540001,7.444693,4019700
2014-07-01,20.459999,20.520000,17.940001,17.980000,6.649822,1729400
2014-08-01,17.990000,19.500000,17.490000,18.650000,6.915874,1672000
2014-09-01,18.799999,18.840000,16.510000,16.510000,6.138356,1488700
2014-10-01,16.650000,18.000000,16.100000,16.980000,6.446524,1757100
2014-11-01,17.070000,17.139999,16.160000,16.500000,6.264291,1034100
2014-12-01,16.459999,16.459999,13.560000,14.850000,5.637861,3167500
2015-01-01,14.810000,15.800000,14.210000,14.400000,5.640227,1403200
2015-02-01,14.460000,16.830000,14.180000,16.600000,6.501931,1299700
2015-03-01,16.719999,17.440001,15.360000,15.370000,6.020160,1698500
2015-04-01,15.440000,16.980000,15.400000,16.650000,6.670892,974200
2015-05-01,16.719999,16.900000,16.000000,16.500000,6.610794,769600
2015-06-01,16.580000,16.719999,14.900000,14.900000,5.969746,1090600
2015-07-01,15.120000,15.650000,14.210000,14.650000,6.017061,1035100
2015-08-01,14.610000,15.690000,7.490000,14.680000,6.029382,1219000
2015-09-01,14.530000,15.530000,13.600000,13.780000,5.659732,960000
2015-10-01,13.880000,15.220000,13.440000,13.830000,5.827566,899500
2015-11-01,13.790000,14.300000,13.400000,14.300000,6.025607,1050000
2015-12-01,14.350000,14.820000,13.010000,13.690000,5.785054,1479100
2016-01-01,13.660000,14.740000,11.340000,13.320000,5.781889,1150000
2016-02-01,13.360000,14.290000,12.180000,14.260000,6.189921,846100
2016-03-01,14.340000,15.650000,13.880000,15.510000,6.732515,1097000
2016-04-01,15.510000,16.000000,15.130000,15.940000,7.103237,783000
2016-05-01,15.960000,15.970000,14.600000,15.100000,6.728913,1786800
2016-06-01,15.180000,15.450000,14.630000,15.270000,6.804671,1762900
2016-07-01,15.270000,16.200001,15.040000,15.840000,7.241835,1448400
2016-08-01,15.890000,16.320000,15.610000,16.150000,7.383561,1510000
2016-09-01,16.070000,16.400000,15.050000,15.750000,7.200689,1641600
2016-10-01,15.790000,15.900000,14.950000,14.980000,7.016218,1017000
2016-11-01,15.040000,17.090000,14.330000,16.180000,7.578264,2661600
2016-12-01,16.250000,16.440001,15.600000,15.730000,7.564635,2174500
2017-01-01,15.900000,16.700001,15.630000,15.890000,7.641582,1793400
2017-02-01,15.920000,16.980000,15.750000,16.790001,8.074396,1886900
2017-03-01,16.860001,17.590000,16.520000,17.570000,8.449502,2907200
2017-04-01,17.549999,18.209999,17.049999,17.930000,8.821144,1568600
2017-05-01,17.990000,18.110001,15.900000,16.459999,8.097935,2010300
2017-06-01,16.590000,17.740000,16.549999,16.820000,8.275046,2856500
2017-07-01,16.799999,17.040001,16.650000,16.860001,8.481502,1059900
2017-08-01,16.780001,16.969999,16.100000,16.110001,8.104209,1811000
2017-09-01,16.150000,16.420000,15.630000,16.080000,8.089118,1492000
2017-10-01,16.129999,16.900000,15.950000,16.700001,8.607857,1397200
2017-11-01,16.740000,16.940001,15.800000,15.930000,8.210966,1724400
2017-12-01,15.940000,16.320000,15.100000,15.180000,7.824386,2961500
2018-01-01,15.490000,15.750000,14.410000,14.700000,7.783313,2389900
2018-02-01,14.660000,14.750000,12.850000,12.880000,6.819666,2468000
2018-03-01,12.870000,13.380000,12.630000,12.880000,6.819666,3127500
2018-04-01,12.950000,13.230000,12.650000,13.060000,7.127155,1659100
2018-05-01,13.070000,14.590000,12.850000,14.430000,7.874796,2250700
2018-06-01,14.500000,14.590000,14.050000,14.210000,7.754735,2620700
2018-07-01,14.220000,15.000000,14.180000,14.430000,8.092300,1217200
2018-08-01,14.420000,15.280000,14.340000,15.280000,8.568977,1679600
2018-09-01,15.250000,15.450000,14.430000,14.620000,8.198853,1636900
2018-10-01,14.530000,14.730000,13.110000,13.730000,7.899537,1788200
2018-11-01,13.870000,14.320000,13.680000,14.090000,8.106662,1388300
2018-12-01,14.310000,14.470000,11.480000,11.690000,6.725825,3260000
2019-01-01,11.640000,14.100000,11.570000,13.980000,8.295280,1668200
2019-02-01,14.000000,15.760000,13.830000,15.010000,8.906446,2388100
2019-03-01,15.060000,15.840000,14.970000,15.330000,9.096323,3056900
2019-04-01,15.450000,15.970000,15.270000,15.700000,9.554737,1673300
2019-05-01,15.710000,16.500000,15.650000,15.820000,9.627769,1881800
2019-06-01,15.790000,16.250000,15.610000,15.950000,9.706883,1875600
2019-07-01,16.030001,16.440001,16.020000,16.209999,10.108776,1517800
2019-08-01,16.200001,16.250000,14.170000,15.140000,9.441509,2882200
2019-09-01,15.140000,15.510000,14.670000,14.830000,9.248189,1826700
2019-10-01,14.830000,14.990000,14.130000,14.750000,9.442171,2233200
2019-11-01,14.770000,15.980000,14.770000,15.980000,10.229549,1610200
2019-12-01,16.000000,16.170000,14.790000,14.840000,9.499784,2562900
2020-01-01,14.850000,15.170000,14.650000,14.760000,9.708514,1856100
2020-02-01,14.810000,15.650000,12.740000,13.180000,8.669254,2735000
2020-03-01,13.270000,14.190000,4.450000,6.620000,4.354360,8641000
2020-04-01,6.440000,9.860000,5.000000,9.080000,6.179307,5003200
2020-05-01,9.180000,10.060000,7.630000,9.540000,6.492355,3377700
2020-06-01,9.340000,11.020000,8.320000,9.070000,6.172502,4371600
2020-07-01,9.080000,9.210000,8.360000,8.660000,6.069755,2636600
2020-08-01,8.670000,10.980000,8.310000,10.450000,7.324360,2985400
2020-09-01,10.500000,10.650000,9.280000,9.850000,6.903821,3179100
2020-10-01,9.940000,10.740000,9.850000,10.570000,7.627004,2521900
2020-11-01,10.700000,14.360000,10.700000,14.150000,10.210228,3203700
2020-12-01,14.290000,14.560000,12.330000,13.100000,9.452579,3582600
2021-01-01,13.250000,13.830000,12.610000,12.800000,9.463007,2437300
2021-02-01,12.920000,15.190000,12.650000,15.020000,11.104247,2735700
2021-03-01,15.580000,15.860000,14.620000,15.550000,11.496077,4205300
2021-04-01,15.610000,17.120001,15.530000,16.580000,12.565205,2629200
2021-05-01,16.670000,17.980000,16.270000,17.360001,13.156331,2483700
2021-06-01,17.459999,18.000000,16.379999,17.000000,12.883502,2877100
2021-07-01,17.059999,17.440001,16.090000,16.799999,13.016811,1473000
2021-08-01,16.889999,18.030001,16.510000,17.660000,13.683148,1645700
2021-09-01,17.730000,18.520000,17.120001,17.440001,13.512692,2397100
