Date,Open,High,Low,Close,Adj Close,Volume
2013-12-01,11.270000,11.270000,11.270000,11.270000,11.270000,0
2014-01-01,null,null,null,null,null,null
2014-02-01,null,null,null,null,null,null
2014-03-01,null,null,null,null,null,null
2014-04-01,null,null,null,null,null,null
2014-05-01,null,null,null,null,null,null
2014-06-01,null,null,null,null,null,null
2014-07-01,11.705000,11.825000,11.615000,11.825000,11.825000,0
2014-08-01,11.555000,11.555000,11.060000,11.550000,11.550000,10630
2014-09-01,11.525000,11.700000,11.250000,11.390000,11.390000,4656
2014-10-01,11.235000,11.425000,10.700000,10.970000,10.970000,1480
2014-11-01,10.970000,11.625000,10.885000,11.600000,11.600000,2543
2014-12-01,11.795000,11.795000,11.410000,11.540000,11.540000,2147
2015-01-01,11.505000,12.837000,11.505000,12.800000,12.800000,3440
2015-02-01,12.760000,16.155001,12.700000,14.478000,14.478000,26292
2015-03-01,14.146000,14.680000,13.060000,13.900000,13.900000,13051
2015-04-01,12.945000,13.115000,12.945000,13.115000,13.115000,0
2015-05-01,13.595000,13.940000,13.595000,13.940000,13.940000,0
2015-06-01,13.605000,13.605000,13.600000,13.600000,13.600000,0
2015-07-01,13.100000,14.270000,13.100000,14.200000,14.200000,546
2015-08-01,null,null,null,null,null,null
2015-09-01,13.600000,13.700000,13.590000,13.620000,13.620000,0
2015-10-01,13.850000,13.875000,13.680000,13.700000,13.700000,0
2015-11-01,13.640000,14.200000,13.640000,14.100000,14.100000,0
2015-12-01,14.385000,14.400000,14.110000,14.155000,14.155000,0
2016-01-01,14.500000,14.600000,14.200000,14.310000,14.310000,0
2016-02-01,14.385000,14.950000,13.975000,14.085000,14.085000,1375
2016-03-01,14.150000,14.600000,13.955000,14.600000,14.600000,0
2016-04-01,14.220000,14.560000,14.220000,14.410000,14.410000,100
2016-05-01,14.435000,14.595000,14.255000,14.595000,14.595000,0
2016-06-01,15.040000,15.450000,14.900000,14.900000,14.900000,0
2016-07-01,15.445000,15.590000,15.445000,15.590000,15.590000,0
2016-08-01,15.690000,15.700000,15.365000,15.620000,15.620000,0
2016-09-01,15.650000,16.590000,15.455000,16.590000,16.590000,0
2016-10-01,16.725000,17.084999,16.605000,16.775000,16.775000,0
2016-11-01,16.440001,16.955000,16.000000,16.955000,16.955000,750
2016-12-01,17.020000,17.799999,16.990000,17.535000,17.535000,100
2017-01-01,17.745001,17.865000,17.440001,17.700001,17.700001,0
2017-02-01,17.660000,17.830000,17.514999,17.514999,17.514999,0
2017-03-01,16.990000,17.105000,16.830000,16.830000,16.830000,150
2017-04-01,null,null,null,null,null,null
2017-05-01,null,null,null,null,null,null
2017-06-01,null,null,null,null,null,null
2017-07-01,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-10-01,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-04-01,null,null,null,null,null,null
2018-05-01,null,null,null,null,null,null
2018-06-01,null,null,null,null,null,null
2018-07-01,null,null,null,null,null,null
2018-08-01,null,null,null,null,null,null
2018-09-01,null,null,null,null,null,null
2018-10-01,null,null,null,null,null,null
2018-11-01,null,null,null,null,null,null
2018-12-01,null,null,null,null,null,null
2019-01-01,null,null,null,null,null,null
2019-02-01,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-06-01,null,null,null,null,null,null
2019-07-01,null,null,null,null,null,null
2019-08-01,null,null,null,null,null,null
2019-09-01,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-11-01,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2020-01-01,null,null,null,null,null,null
2020-02-01,null,null,null,null,null,null
2020-03-01,null,null,null,null,null,null
2020-04-01,null,null,null,null,null,null
2020-05-01,null,null,null,null,null,null
2020-06-01,null,null,null,null,null,null
2020-07-01,null,null,null,null,null,null
2020-08-01,null,null,null,null,null,null
2020-09-01,null,null,null,null,null,null
2020-10-01,null,null,null,null,null,null
2020-11-01,null,null,null,null,null,null
2020-12-01,null,null,null,null,null,null
2021-01-01,null,null,null,null,null,null
2021-02-01,null,null,null,null,null,null
2021-03-01,null,null,null,null,null,null
2021-04-01,null,null,null,null,null,null
2021-05-01,null,null,null,null,null,null
2021-06-01,null,null,null,null,null,null
2021-07-01,null,null,null,null,null,null
2021-08-01,null,null,null,null,null,null
2021-09-01,null,null,null,null,null,null
2021-10-01,null,null,null,null,null,null
2021-11-01,null,null,null,null,null,null
2021-12-01,null,null,null,null,null,null
2022-01-01,null,null,null,null,null,null
2022-02-01,null,null,null,null,null,null
2022-03-01,null,null,null,null,null,null
2022-04-01,null,null,null,null,null,null
2022-05-01,null,null,null,null,null,null
2022-06-01,null,null,null,null,null,null
2022-07-01,null,null,null,null,null,null
2022-08-01,null,null,null,null,null,null
2022-09-01,null,null,null,null,null,null
2022-10-01,null,null,null,null,null,null
2022-11-01,null,null,null,null,null,null
2022-12-01,null,null,null,null,null,null
2023-01-01,null,null,null,null,null,null
2023-02-01,null,null,null,null,null,null
2023-03-01,null,null,null,null,null,null
2023-04-01,null,null,null,null,null,null
2023-05-01,null,null,null,null,null,null
2023-06-01,null,null,null,null,null,null
2023-07-01,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-09-01,null,null,null,null,null,null
2023-10-01,null,null,null,null,null,null
