Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,1.430000,1.450000,1.050000,1.200000,1.200000,997981
2010-04-01,1.430000,1.430000,0.760000,0.990000,0.990000,2018365
2010-05-01,1.430000,1.430000,0.620000,0.700000,0.700000,1795192
2010-06-01,1.430000,1.430000,0.600000,0.650000,0.650000,1800168
2010-07-01,0.680000,0.680000,0.330000,0.420000,0.420000,3586482
2010-08-01,0.420000,0.530000,0.224000,0.320000,0.320000,8101457
2010-09-01,1.430000,1.430000,0.205000,0.230000,0.230000,4472287
2010-10-01,0.250000,0.260000,0.120000,0.210000,0.210000,4307957
2010-11-01,0.200000,0.405000,0.180000,0.365000,0.365000,6392146
2010-12-01,0.375000,0.459000,0.230000,0.250000,0.250000,9136038
2011-01-01,0.254000,0.330000,0.152000,0.251000,0.251000,4183295
2011-02-01,0.260000,0.260000,0.170000,0.171000,0.171000,3938947
2011-03-01,0.180000,0.190000,0.115000,0.115000,0.115000,2599249
2011-04-01,0.110000,0.136500,0.064000,0.092000,0.092000,2030486
2011-05-01,0.085000,0.085000,0.035100,0.050000,0.050000,3447695
2011-06-01,0.050000,0.050000,0.017000,0.025000,0.025000,1000099
2011-07-01,0.023000,0.030000,0.016000,0.025000,0.025000,1023104
2011-08-01,0.025000,0.032000,0.016000,0.017500,0.017500,1359057
2011-09-01,0.018000,0.026000,0.015100,0.015200,0.015200,1102427
2011-10-01,0.015200,0.029800,0.009500,0.025000,0.025000,2107805
2011-11-01,0.011100,0.026000,0.007000,0.007000,0.007000,398702
2011-12-01,0.007000,0.007000,0.002500,0.002500,0.002500,1800292
2012-01-01,0.002500,0.020000,0.002500,0.015100,0.015100,1323974
2012-02-01,0.015100,0.020000,0.007500,0.008500,0.008500,214908
2012-03-01,0.009000,0.022000,0.009000,0.010000,0.010000,1120263
2012-04-01,0.009000,0.010000,0.007500,0.007600,0.007600,136700
2012-05-01,0.007600,0.007800,0.007500,0.007600,0.007600,130800
2012-06-01,0.007600,0.007600,0.002600,0.002800,0.002800,379724
2012-07-01,0.003200,0.006000,0.002500,0.005000,0.005000,405799
2012-08-01,0.005000,0.005000,0.002500,0.002500,0.002500,180519
2012-09-01,0.002500,0.007000,0.002100,0.007000,0.007000,244700
2012-10-01,0.002100,0.007000,0.002100,0.003500,0.003500,227210
2012-11-01,0.003500,0.004500,0.002500,0.002500,0.002500,307506
2012-12-01,0.003000,0.005000,0.002100,0.002400,0.002400,1188527
2013-01-01,0.002400,0.003500,0.001200,0.001600,0.001600,372210
2013-02-01,0.001600,0.004900,0.001600,0.002500,0.002500,158875
2013-03-01,0.002500,0.004000,0.002000,0.002500,0.002500,398655
2013-04-01,0.002500,0.002500,0.002000,0.002000,0.002000,213800
2013-05-01,0.002000,0.003000,0.002000,0.002100,0.002100,590507
2013-06-01,0.002100,0.002100,0.001400,0.001400,0.001400,1492567
2013-07-01,0.001200,0.001900,0.001200,0.001300,0.001300,93420
2013-08-01,0.001300,0.002500,0.001200,0.002500,0.002500,500314
2013-09-01,0.002500,0.002500,0.002100,0.002100,0.002100,131800
2013-10-01,0.002100,0.002400,0.001600,0.001600,0.001600,157613
2013-11-01,0.001600,0.001800,0.001600,0.001600,0.001600,219625
2013-12-01,0.001600,0.001600,0.001200,0.001300,0.001300,1573429
2014-01-01,0.001300,0.001300,0.001300,0.001300,0.001300,636250
2014-02-01,0.001500,0.002000,0.001500,0.001800,0.001800,681550
2014-03-01,0.001800,0.001800,0.001800,0.001800,0.001800,43500
2014-04-01,0.001800,0.001900,0.001800,0.001900,0.001900,97225
2014-05-01,0.001900,0.019000,0.001800,0.003000,0.003000,13598200
2014-06-01,0.002300,0.003500,0.001600,0.003500,0.003500,622223
2014-07-01,0.003500,0.003500,0.001600,0.001600,0.001600,266067
2014-08-01,0.001600,0.002000,0.001600,0.002000,0.002000,642761
2014-09-01,0.002000,0.002000,0.001200,0.001200,0.001200,914953
2014-10-01,0.001200,0.001300,0.001000,0.001200,0.001200,75700
2014-11-01,0.001200,0.001200,0.001200,0.001200,0.001200,98325
2014-12-01,0.001200,0.001800,0.001100,0.001100,0.001100,685695
2015-01-01,0.001100,0.006100,0.001100,0.003900,0.003900,9516438
2015-02-01,0.003900,0.003900,0.001600,0.001700,0.001700,540985
2015-03-01,0.001700,0.003200,0.001700,0.002100,0.002100,408029
2015-04-01,0.002100,0.002100,0.001300,0.001300,0.001300,66210
2015-05-01,0.001300,0.002400,0.001300,0.001700,0.001700,137900
2015-06-01,0.001700,0.002200,0.001400,0.001600,0.001600,56570
2015-07-01,0.001600,0.002000,0.001500,0.001500,0.001500,342640
2015-08-01,0.001500,0.001600,0.001000,0.001000,0.001000,1142870
2015-09-01,0.001000,0.001000,0.001000,0.001000,0.001000,1000
2015-10-01,0.001000,0.001290,0.001000,0.001000,0.001000,17070
2015-11-01,0.001000,0.001000,0.000900,0.000900,0.000900,14343
2015-12-01,0.000900,0.001500,0.000700,0.000700,0.000700,892378
2016-01-01,0.000700,0.000730,0.000700,0.000700,0.000700,99200
2016-02-01,0.000700,0.000700,0.000700,0.000700,0.000700,20150
2016-03-01,0.000700,0.000790,0.000700,0.000700,0.000700,77564
2016-04-01,0.000700,0.001000,0.000700,0.000970,0.000970,40600
2016-05-01,0.000970,0.000970,0.000700,0.000700,0.000700,143500
2016-06-01,0.000700,0.002500,0.000600,0.000600,0.000600,3760742
2016-07-01,0.000600,0.001000,0.000600,0.001000,0.001000,33500
2016-08-01,0.001000,0.001000,0.000700,0.000800,0.000800,17000
2016-09-01,0.000700,0.000770,0.000700,0.000700,0.000700,116700
2016-10-01,0.000700,0.000800,0.000700,0.000700,0.000700,68384
2016-11-01,0.001000,0.004000,0.000800,0.000900,0.000900,798200
2016-12-01,0.000900,0.001100,0.000900,0.000950,0.000950,91358
2017-01-01,0.000950,0.001000,0.000800,0.000800,0.000800,171671
2017-02-01,0.000800,0.000890,0.000800,0.000800,0.000800,445000
2017-03-01,0.000800,0.000900,0.000800,0.000800,0.000800,212200
2017-04-01,0.000800,0.003300,0.000700,0.001300,0.001300,640600
2017-05-01,0.001300,0.001640,0.001300,0.001300,0.001300,11660
2017-06-01,0.001300,0.002690,0.001300,0.001930,0.001930,8008
2017-07-01,0.001930,0.001930,0.000700,0.000700,0.000700,5137163
2017-08-01,0.000700,0.002300,0.000700,0.001300,0.001300,1300248
2017-09-01,0.001300,0.003280,0.000900,0.001000,0.001000,277530
2017-10-01,0.001000,0.001200,0.000800,0.000800,0.000800,370900
2017-11-01,0.000800,0.000900,0.000800,0.000900,0.000900,6100
2017-12-01,0.001100,0.001100,0.000700,0.000700,0.000700,73195
2018-01-01,0.000700,0.001000,0.000700,0.001000,0.001000,48230
2018-02-01,0.001000,0.001000,0.000600,0.000840,0.000840,136400
2018-03-01,0.000840,0.000900,0.000600,0.000600,0.000600,89500
2018-04-01,0.000600,0.000600,0.000400,0.000500,0.000500,14500
2018-05-01,0.000500,0.003070,0.000500,0.002500,0.002500,2102376
2018-06-01,0.002000,0.002000,0.001000,0.001000,0.001000,36000
2018-07-01,0.001100,0.002000,0.000800,0.001000,0.001000,46250
2018-08-01,0.001000,0.002000,0.001000,0.001500,0.001500,1141280
2018-09-01,0.001500,0.002500,0.001500,0.002500,0.002500,263240
2018-10-01,0.002500,0.003000,0.001500,0.001500,0.001500,696826
2018-11-01,0.001500,0.001500,0.001300,0.001300,0.001300,109873
2018-12-01,0.001300,0.001650,0.001300,0.001340,0.001340,81500
2019-01-01,0.001340,0.002000,0.001300,0.001500,0.001500,312500
2019-02-01,0.001500,0.006900,0.001500,0.004000,0.004000,28000
2019-03-01,0.004000,0.005500,0.001200,0.001390,0.001390,67111
2019-04-01,0.001390,0.003100,0.001200,0.001200,0.001200,435500
2019-05-01,0.001200,0.001290,0.001200,0.001200,0.001200,224800
2019-06-01,0.001200,0.001200,0.001200,0.001200,0.001200,63575
2019-07-01,0.001200,0.001200,0.001200,0.001200,0.001200,117843
2019-08-01,0.003490,0.003490,0.001200,0.001550,0.001550,35500
2019-09-01,0.001550,0.001550,0.001100,0.001100,0.001100,16066
2019-10-01,0.001000,0.001990,0.001000,0.001400,0.001400,401288
2019-11-01,0.001700,0.002000,0.001000,0.001400,0.001400,521150
2019-12-01,0.001400,0.002000,0.001000,0.001000,0.001000,108657
2020-01-01,0.001000,0.001000,0.001000,0.001000,0.001000,200724
2020-02-01,0.001000,0.001000,0.000100,0.000700,0.000700,2751280
2020-03-01,0.001000,0.001800,0.000700,0.001400,0.001400,645192
2020-04-01,0.001400,0.001700,0.000200,0.000200,0.000200,23576
2020-05-01,0.000200,0.000300,0.000200,0.000300,0.000300,33200
2020-06-01,0.000300,0.000800,0.000300,0.000600,0.000600,48007
2020-07-01,0.000600,0.003500,0.000600,0.001800,0.001800,2817134
2020-08-01,0.001800,0.002900,0.000900,0.000900,0.000900,290891
2020-09-01,0.000900,0.002890,0.000900,0.000900,0.000900,163500
2020-10-01,0.000900,0.001000,0.000100,0.000200,0.000200,3142474
2020-11-01,0.000200,0.002800,0.000200,0.000790,0.000790,598950
2020-12-01,0.000790,0.001200,0.000200,0.001200,0.001200,1108624
2021-01-01,0.001200,0.002850,0.000500,0.002800,0.002800,1827892
2021-02-01,0.002700,0.024450,0.000800,0.007900,0.007900,4912072
2021-03-01,0.007320,0.007320,0.000950,0.004500,0.004500,1683950
2021-04-01,0.004500,0.004500,0.000800,0.003210,0.003210,1574488
2021-05-01,0.003210,0.004500,0.000800,0.001220,0.001220,1171586
2021-06-01,0.001220,0.002000,0.000800,0.002000,0.002000,312737
2021-07-01,0.002000,0.002000,0.000100,0.000100,0.000100,32352
2021-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2021-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,455069
2021-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2021-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2021-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-01-01,0.000100,0.000100,0.000030,0.000030,0.000030,400
2022-02-01,0.000030,0.000030,0.000030,0.000030,0.000030,0
2022-03-01,0.000030,0.000030,0.000030,0.000030,0.000030,0
2022-04-01,0.000030,0.000100,0.000030,0.000100,0.000100,1500
2022-05-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-06-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2023-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2023-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2023-03-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2023-04-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2023-05-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2023-06-01,0.000100,0.000100,0.000100,0.000100,0.000100,33300
2023-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,10000
2023-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,3350
2023-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,428000
2023-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,10000
