Date,Open,High,Low,Close,Adj Close,Volume
2013-12-01,14.725000,14.725000,14.725000,14.725000,14.725000,0
2014-01-01,null,null,null,null,null,null
2014-02-01,null,null,null,null,null,null
2014-03-01,null,null,null,null,null,null
2014-04-01,null,null,null,null,null,null
2014-05-01,null,null,null,null,null,null
2014-06-01,null,null,null,null,null,null
2014-07-01,15.740000,15.990000,14.938000,15.495000,15.495000,200
2014-08-01,15.285000,15.475000,14.480000,15.360000,15.360000,800
2014-09-01,15.490000,16.299999,15.475000,15.840000,15.840000,0
2014-10-01,15.794000,16.030001,13.850000,15.885000,15.885000,0
2014-11-01,15.935000,16.384001,15.824000,16.156000,16.156000,285
2014-12-01,16.035999,16.968000,15.393000,16.850000,16.850000,0
2015-01-01,16.853001,16.973000,15.127000,15.349000,15.349000,130
2015-02-01,15.277000,17.386999,15.277000,17.327000,17.327000,0
2015-03-01,17.298000,18.209000,17.191000,17.566999,17.566999,0
2015-04-01,3296.179932,3296.179932,3296.179932,3296.179932,3296.179932,0
2015-05-01,3296.179932,3296.179932,18.150999,18.618999,18.618999,0
2015-06-01,18.490000,3296.179932,18.056000,18.677999,18.677999,0
2015-07-01,18.820000,3296.179932,18.459999,3296.179932,3296.179932,0
2015-08-01,null,null,null,null,null,null
2015-09-01,3296.179932,3296.179932,17.075001,17.075001,17.075001,0
2015-10-01,3296.179932,3296.179932,16.639999,17.965000,17.965000,0
2015-11-01,18.975000,3296.179932,18.256001,3296.179932,3296.179932,0
2015-12-01,19.575001,3296.179932,18.531000,18.565001,18.565001,0
2016-01-01,17.465000,3296.179932,13.705000,3296.179932,3296.179932,0
2016-02-01,14.510000,3296.179932,12.290000,14.185000,14.185000,0
2016-03-01,13.970000,15.525000,13.970000,15.357000,15.357000,0
2016-04-01,3296.179932,3296.179932,14.380000,3296.179932,3296.179932,0
2016-05-01,3296.179932,3296.179932,15.125000,3296.179932,3296.179932,0
2016-06-01,16.910999,3296.179932,14.672000,14.770000,14.770000,0
2016-07-01,3296.179932,3296.179932,3296.179932,3296.179932,3296.179932,0
2016-08-01,3296.179932,3296.179932,16.490000,3296.179932,3296.179932,0
2016-09-01,3296.179932,3296.179932,3296.179932,3296.179932,3296.179932,0
2016-10-01,3296.179932,3296.179932,3296.179932,3296.179932,3296.179932,0
2016-11-01,3296.179932,3296.179932,3296.179932,3296.179932,3296.179932,0
2016-12-01,3296.179932,3296.179932,3296.179932,3296.179932,3296.179932,0
2017-01-01,3296.179932,3296.179932,25.575001,3296.179932,3296.179932,0
2017-02-01,3296.179932,3296.179932,3296.179932,3296.179932,3296.179932,0
2017-03-01,3296.179932,3296.179932,3296.179932,3296.179932,3296.179932,0
2017-04-01,3296.179932,3296.179932,3296.179932,3296.179932,3296.179932,0
2017-05-01,3296.179932,3296.179932,3296.179932,3296.179932,3296.179932,0
2017-06-01,null,null,null,null,null,null
2017-07-01,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-10-01,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
