Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,9.670000,10.020000,9.610000,9.660000,9.660000,1075900
2021-06-01,9.660000,9.720000,9.620000,9.660000,9.660000,679000
2021-07-01,9.650000,9.770000,9.570000,9.670000,9.670000,2402500
2021-08-01,9.680000,9.750000,9.600000,9.690000,9.690000,1238900
2021-09-01,9.690000,9.790000,9.630000,9.720000,9.720000,355900
2021-10-01,9.740000,9.800000,9.700000,9.770000,9.770000,265800
2021-11-01,9.780000,9.790000,9.730000,9.750000,9.750000,838400
2021-12-01,9.750000,9.770000,9.675000,9.720000,9.720000,1287500
2022-01-01,9.730000,9.800000,9.650000,9.680000,9.680000,828400
2022-02-01,9.730000,9.760000,9.680000,9.720000,9.720000,2371600
2022-03-01,9.740000,9.790000,9.700000,9.750000,9.750000,1871700
2022-04-01,9.750000,9.820000,9.750000,9.790000,9.790000,268000
2022-05-01,9.790000,9.840000,9.760000,9.760000,9.760000,2027200
2022-06-01,9.750000,9.830000,9.750000,9.790000,9.790000,844400
2022-07-01,9.800000,9.840000,9.780000,9.830000,9.830000,294000
2022-08-01,9.820000,9.870000,9.810000,9.830000,9.830000,3217500
2022-09-01,9.830000,10.050000,9.760000,9.830000,9.830000,3527300
2022-10-01,9.850000,9.960000,9.830000,9.950000,9.950000,2478500
2022-11-01,9.960000,10.150000,9.925000,10.110000,10.110000,14405300
2022-12-01,10.110000,10.150000,9.910000,10.050000,10.050000,1441700
2023-01-01,10.090000,10.160000,10.040000,10.140000,10.140000,2132600
2023-02-01,10.145000,10.460000,10.050000,10.300000,10.300000,8336000
2023-03-01,10.335000,10.470000,10.080000,10.130000,10.130000,249500
2023-04-01,10.150000,10.180000,10.120000,10.180000,10.180000,157000
2023-05-01,10.180000,10.200000,10.130000,10.190000,10.190000,3004600
2023-06-01,10.190000,10.390000,10.180000,10.270000,10.270000,1464200
2023-07-01,10.270000,10.390000,10.260000,10.290000,10.290000,938000
2023-08-01,10.290000,10.450000,10.260000,10.390000,10.390000,2174500
2023-09-01,10.300000,10.660000,10.270000,10.460000,10.460000,190200
2023-10-01,10.480000,10.600000,10.440000,10.575000,10.575000,218700
