Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,23.000000,23.299999,20.750000,20.750000,12.657400,9500
2010-04-01,20.750000,22.000000,19.400000,19.400000,11.833899,16400
2010-05-01,19.700001,20.959999,18.100000,20.000000,12.283651,7000
2010-06-01,20.000000,20.000000,15.000000,19.000000,11.669470,7800
2010-07-01,19.000000,19.000000,16.500000,17.000000,10.441104,3600
2010-08-01,17.750000,20.000000,16.500000,16.980000,10.516456,6500
2010-09-01,16.980000,16.980000,15.150000,15.300000,9.475959,10300
2010-10-01,15.300000,16.240000,14.500000,15.000000,9.290156,13700
2010-11-01,15.000000,15.750000,13.250000,13.250000,8.285213,11900
2010-12-01,14.500000,15.750000,14.200000,14.590000,9.123114,5200
2011-01-01,14.590000,14.700000,13.500000,13.600000,8.504065,6700
2011-02-01,13.600000,15.500000,13.410000,13.450000,8.498180,7400
2011-03-01,13.450000,13.480000,13.000000,13.000000,8.213855,4600
2011-04-01,13.000000,13.990000,12.500000,13.000000,8.213855,5200
2011-05-01,12.760000,13.500000,12.350000,12.760000,8.155674,12900
2011-06-01,12.760000,12.800000,12.100000,12.750000,8.149282,5000
2011-07-01,12.750000,14.750000,11.750000,14.750000,9.427601,12100
2011-08-01,14.750000,15.000000,13.000000,14.000000,9.040165,13000
2011-09-01,13.050000,14.000000,12.450000,12.990000,8.387981,4200
2011-10-01,12.990000,13.000000,12.500000,13.000000,8.394435,4900
2011-11-01,13.000000,14.000000,12.300000,14.000000,9.145693,26800
2011-12-01,13.750000,13.800000,13.320000,13.700000,8.949716,6900
2012-01-01,14.000000,14.500000,13.610000,13.750000,8.982380,9700
2012-02-01,14.000000,14.500000,13.730000,14.010000,9.258880,11500
2012-03-01,14.010000,15.950000,14.010000,15.050000,9.946191,17400
2012-04-01,15.800000,18.950001,15.050000,18.740000,12.384827,24100
2012-05-01,18.740000,18.740000,15.650000,15.800000,10.531765,12100
2012-06-01,15.710000,15.750000,15.340000,15.500000,10.331798,11500
2012-07-01,15.500000,16.750000,15.500000,15.500000,10.331798,6700
2012-08-01,15.500000,16.500000,15.490000,15.500000,10.439561,3200
2012-09-01,15.500000,15.500000,15.000000,15.200000,10.237503,11300
2012-10-01,15.200000,16.000000,15.200000,15.250000,10.271182,5100
2012-11-01,15.250000,16.740000,15.000000,15.750000,10.720417,10800
2012-12-01,15.830000,15.830000,14.900000,15.250000,10.380087,5600
2013-01-01,15.250000,16.580000,15.050000,15.880000,10.808902,12000
2013-02-01,15.880000,17.000000,15.880000,17.000000,11.695508,3600
2013-03-01,17.730000,17.730000,17.010000,17.500000,12.039493,3200
2013-04-01,17.990000,17.990000,17.000000,17.000000,11.695508,11200
2013-05-01,17.000000,18.250000,17.000000,17.500000,12.039493,3900
2013-06-01,17.500000,17.500000,16.570000,17.500000,12.161103,7400
2013-07-01,17.500000,18.299999,17.010000,17.510000,12.168054,4400
2013-08-01,17.510000,18.000000,17.510000,18.000000,12.627828,4400
2013-09-01,18.000000,18.000000,16.870001,17.750000,12.452441,6800
2013-10-01,17.750000,17.920000,16.500000,17.170000,12.045544,23200
2013-11-01,17.000000,17.000000,16.520000,16.900000,11.974687,5000
2013-12-01,17.000000,19.000000,16.950001,18.500000,13.108385,17300
2014-01-01,17.900000,18.000000,17.150000,17.209999,12.194344,8000
