Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,3.750000,4.750000,2.810000,3.330000,3.330000,46100
2010-04-01,3.330000,4.900000,3.010000,3.760000,3.760000,31500
2010-05-01,3.760000,4.300000,3.500000,4.000000,4.000000,18500
2010-06-01,4.000000,4.300000,3.100000,3.100000,3.100000,16400
2010-07-01,3.050000,4.150000,3.050000,4.000000,4.000000,31200
2010-08-01,3.250000,4.150000,3.250000,3.300000,3.300000,17000
2010-09-01,3.250000,3.700000,3.250000,3.430000,3.430000,18700
2010-10-01,3.430000,3.450000,3.150000,3.150000,3.150000,10000
2010-11-01,3.150000,3.450000,2.950000,3.000000,3.000000,27600
2010-12-01,3.000000,3.300000,2.750000,3.000000,3.000000,24900
2011-01-01,3.400000,3.400000,2.000000,2.500000,2.500000,54900
2011-02-01,2.500000,3.200000,2.350000,3.000000,3.000000,28400
2011-03-01,3.450000,3.850000,2.100000,2.500000,2.500000,57800
2011-04-01,2.500000,2.500000,2.050000,2.300000,2.300000,34600
2011-05-01,2.300000,2.800000,2.050000,2.250000,2.250000,19600
2011-06-01,2.250000,2.500000,1.800000,1.800000,1.800000,41600
2011-07-01,1.800000,2.250000,1.650000,2.250000,2.250000,15600
2011-08-01,1.750000,2.800000,1.500000,2.350000,2.350000,33700
2011-09-01,2.350000,2.500000,1.770000,1.770000,1.770000,7100
2011-10-01,2.400000,2.400000,1.620000,1.620000,1.620000,9800
2011-11-01,2.350000,2.500000,1.320000,1.360000,1.360000,9600
2011-12-01,1.380000,2.500000,1.200000,2.000000,2.000000,21400
2012-01-01,2.000000,2.000000,1.050000,1.280000,1.280000,24100
2012-02-01,1.300000,1.500000,1.100000,1.300000,1.300000,13100
2012-03-01,1.300000,1.900000,1.300000,1.900000,1.900000,5900
2012-04-01,1.900000,1.900000,1.500000,1.900000,1.900000,15800
2012-05-01,1.900000,3.000000,1.550000,3.000000,3.000000,13000
2012-06-01,3.000000,3.550000,3.000000,3.550000,3.550000,6600
2012-07-01,3.550000,3.550000,2.500000,2.500000,2.500000,4200
2012-08-01,2.500000,3.490000,2.150000,2.400000,2.400000,23100
2012-09-01,3.000000,3.350000,2.250000,2.500000,2.500000,10100
2012-10-01,2.500000,2.500000,2.000000,2.000000,2.000000,9600
2012-11-01,1.900000,1.930000,1.800000,1.930000,1.930000,12100
2012-12-01,1.900000,1.930000,1.600000,1.810000,1.810000,18000
2013-01-01,1.810000,1.820000,1.650000,1.660000,1.660000,21100
2013-02-01,1.660000,2.400000,1.660000,2.000000,2.000000,27000
2013-03-01,2.000000,2.040000,1.800000,2.000000,2.000000,30000
2013-04-01,2.000000,2.000000,1.100000,1.750000,1.750000,67500
2013-05-01,1.750000,1.750000,1.350000,1.500000,1.500000,5100
2013-06-01,1.700000,2.000000,1.450000,1.800000,1.800000,15500
2013-07-01,1.800000,1.990000,1.500000,1.800000,1.800000,98100
2013-08-01,1.800000,1.840000,1.550000,1.650000,1.650000,32300
2013-09-01,1.650000,1.750000,1.570000,1.650000,1.650000,7000
2013-10-01,1.650000,1.900000,1.650000,1.800000,1.800000,12400
2013-11-01,1.800000,2.500000,1.800000,1.800000,1.800000,52800
2013-12-01,1.900000,1.950000,1.650000,1.710000,1.710000,23300
2014-01-01,1.710000,2.000000,1.600000,1.790000,1.790000,50800
2014-02-01,1.790000,1.790000,1.600000,1.700000,1.700000,9200
2014-03-01,1.610000,2.000000,1.590000,1.880000,1.880000,22700
2014-04-01,1.600000,1.880000,1.550000,1.800000,1.800000,13900
2014-05-01,1.800000,1.800000,1.660000,1.660000,1.660000,4900
2014-06-01,1.660000,2.100000,1.660000,2.000000,2.000000,62600
2014-07-01,2.000000,2.300000,1.900000,2.150000,2.150000,8600
2014-08-01,2.400000,3.100000,2.000000,3.000000,3.000000,70800
2014-09-01,3.000000,3.000000,2.800000,2.850000,2.850000,361300
2014-10-01,2.850000,3.140000,2.850000,3.120000,3.120000,8400
2014-11-01,3.120000,3.390000,2.950000,3.150000,3.150000,121300
2014-12-01,3.200000,3.300000,3.110000,3.290000,3.290000,46400
2015-01-01,3.290000,4.350000,3.290000,3.410000,3.410000,20900
2015-02-01,3.350000,3.550000,3.260000,3.550000,3.550000,30300
2015-03-01,3.550000,4.000000,3.550000,3.990000,3.990000,4000
2015-04-01,3.950000,4.000000,3.550000,3.740000,3.740000,5400
2015-05-01,3.740000,3.750000,3.500000,3.750000,3.750000,35800
2015-06-01,3.750000,4.000000,3.750000,4.000000,4.000000,3600
2015-07-01,4.000000,4.390000,4.000000,4.350000,4.350000,7400
2015-08-01,4.340000,4.740000,4.300000,4.500000,4.500000,185400
2015-09-01,4.500000,5.200000,4.400000,5.190000,5.190000,64700
2015-10-01,5.190000,5.350000,5.030000,5.250000,5.250000,23700
2015-11-01,5.280000,5.300000,5.050000,5.050000,5.050000,20300
2015-12-01,5.000000,5.000000,4.550000,4.550000,4.550000,3600
2016-01-01,4.550000,5.000000,4.550000,4.800000,4.800000,7500
2016-02-01,4.800000,4.800000,4.220000,4.490000,4.490000,10400
2016-03-01,4.490000,4.490000,4.330000,4.400000,4.400000,3800
2016-04-01,4.400000,4.460000,3.750000,4.460000,4.460000,17200
2016-05-01,4.460000,4.460000,3.750000,4.300000,4.300000,14700
2016-06-01,4.300000,4.740000,4.160000,4.600000,4.600000,12800
2016-07-01,4.750000,5.290000,4.750000,5.220000,5.220000,19200
2016-08-01,5.220000,5.400000,4.900000,5.400000,5.400000,53500
2016-09-01,5.400000,5.420000,5.300000,5.300000,5.300000,96300
2016-10-01,5.350000,5.650000,5.120000,5.550000,5.550000,61800
2016-11-01,5.610000,5.700000,5.540000,5.680000,5.680000,68400
2016-12-01,5.680000,5.940000,5.620000,5.940000,5.940000,94200
2017-01-01,5.940000,6.190000,5.910000,6.190000,6.190000,99300
2017-02-01,6.190000,6.470000,6.150000,6.470000,6.470000,98500
2017-03-01,6.490000,6.750000,6.350000,6.750000,6.750000,32700
2017-04-01,6.830000,6.830000,6.600000,6.800000,6.800000,14400
2017-05-01,6.800000,8.000000,6.550000,6.850000,6.850000,63200
2017-06-01,7.000000,7.050000,6.850000,6.940000,6.940000,23500
2017-07-01,6.940000,6.950000,6.750000,6.900000,6.900000,15600
2017-08-01,6.900000,7.940000,6.800000,7.100000,7.100000,25000
2017-09-01,7.100000,7.350000,6.910000,7.350000,7.350000,21500
2017-10-01,7.210000,7.500000,7.050000,7.250000,7.250000,35200
2017-11-01,7.250000,7.450000,7.150000,7.250000,7.250000,42100
2017-12-01,7.250000,7.560000,7.250000,7.500000,7.500000,23800
2018-01-01,7.550000,7.800000,7.360000,7.680000,7.680000,160700
2018-02-01,7.680000,7.680000,7.390000,7.390000,7.390000,77100
2018-03-01,7.390000,7.570000,7.300000,7.400000,7.400000,56300
2018-04-01,7.400000,7.450000,7.250000,7.250000,7.250000,80700
