Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,35.000000,49.000000,10.000000,49.000000,49.000000,347
2010-04-01,49.000000,49.000000,20.000000,22.000000,22.000000,233
2010-05-01,22.000000,22.000000,3.000000,10.000000,10.000000,4134
2010-06-01,9.000000,10.000000,2.000000,6.000000,6.000000,1186
2010-07-01,6.000000,30.000000,6.000000,14.000000,14.000000,527
2010-08-01,14.000000,14.000000,14.000000,14.000000,14.000000,113
2010-09-01,14.000000,14.000000,5.000000,5.000000,5.000000,45
2010-10-01,5.000000,24.000000,5.000000,5.000000,5.000000,153
2010-11-01,5.000000,10.000000,5.000000,5.000000,5.000000,1215
2010-12-01,5.000000,9.000000,2.000000,5.000000,5.000000,2546
2011-01-01,5.000000,15.000000,5.000000,7.000000,7.000000,243
2011-02-01,7.000000,30.000000,7.000000,15.000000,15.000000,1191
2011-03-01,15.000000,27.000000,7.000000,12.000000,12.000000,151
2011-04-01,23.000000,23.000000,13.000000,17.000000,17.000000,821
2011-05-01,17.000000,25.000000,12.000000,25.000000,25.000000,325
2011-06-01,25.000000,25.000000,18.000000,25.000000,25.000000,91
2011-07-01,25.000000,25.000000,12.000000,12.000000,12.000000,199
2011-08-01,12.000000,12.000000,8.000000,9.000000,9.000000,55
2011-09-01,19.000000,19.000000,5.000000,19.000000,19.000000,206
2011-10-01,19.000000,19.000000,3.000000,5.000000,5.000000,348
2011-11-01,5.000000,5.000000,3.000000,3.000000,3.000000,660
2011-12-01,3.000000,3.000000,1.000000,1.000000,1.000000,1995
2012-01-01,1.000000,11.000000,1.000000,6.000000,6.000000,1620
2012-02-01,6.000000,18.000000,6.000000,6.000000,6.000000,122
2012-03-01,6.000000,17.000000,6.000000,6.000000,6.000000,211
2012-04-01,6.000000,7.000000,6.000000,6.000000,6.000000,234
2012-05-01,5.000000,12.000000,2.000000,2.000000,2.000000,338
2012-06-01,12.000000,16.000000,3.000000,3.000000,3.000000,264
2012-07-01,3.000000,16.000000,3.000000,16.000000,16.000000,543
