Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,14.840000,17.150000,14.180000,14.970000,12.928898,193400
2010-04-01,14.950000,16.790001,14.640000,15.530000,13.502833,166900
2010-05-01,15.600000,15.840000,12.460000,14.080000,12.242105,147400
2010-06-01,13.790000,14.940000,8.140000,9.050000,7.868683,1144800
2010-07-01,9.010000,10.200000,7.810000,9.090000,7.980471,299400
2010-08-01,8.910000,11.490000,8.910000,10.680000,9.376389,131100
2010-09-01,10.140000,11.110000,8.050000,8.400000,7.374688,66500
2010-10-01,8.700000,9.970000,8.500000,9.200000,8.165533,67200
2010-11-01,9.020000,10.690000,9.000000,9.730000,8.635941,50300
2010-12-01,9.960000,11.500000,9.230000,11.210000,9.949525,66600
2011-01-01,11.580000,13.030000,10.400000,10.690000,9.592889,79100
2011-02-01,10.650000,11.240000,7.370000,8.260000,7.412278,89500
2011-03-01,8.200000,10.200000,7.750000,8.650000,7.762252,89200
2011-04-01,8.650000,8.650000,6.960000,7.160000,6.452986,70900
2011-05-01,7.180000,7.660000,6.160000,6.890000,6.209647,65800
2011-06-01,6.900000,6.930000,4.660000,4.760000,4.289974,131700
2011-07-01,4.940000,6.990000,3.020000,6.550000,5.903219,306900
2011-08-01,6.720000,7.210000,5.750000,6.020000,5.425555,90300
2011-09-01,5.930000,6.190000,4.750000,5.160000,4.650476,38900
2011-10-01,6.000000,6.000000,4.500000,4.960000,4.470224,76000
2011-11-01,4.890000,5.620000,4.520000,5.000000,4.506275,49000
2011-12-01,5.000000,5.000000,3.800000,4.160000,3.749220,55800
2012-01-01,4.460000,7.920000,3.950000,6.020000,5.425555,53000
2012-02-01,5.190000,6.730000,5.190000,6.080000,5.479631,25300
2012-03-01,6.010000,6.200000,5.290000,5.510000,4.965915,37200
2012-04-01,5.750000,6.150000,5.110000,5.720000,5.155178,12500
2012-05-01,5.380000,5.800000,4.760000,4.880000,4.398125,41900
2012-06-01,4.850000,5.500000,4.630000,5.480000,4.938879,17400
2012-07-01,5.340000,5.700000,4.810000,5.700000,5.137153,26200
2012-08-01,5.600000,6.450000,5.170000,5.900000,5.317404,46900
2012-09-01,5.900000,6.490000,5.530000,5.630000,5.074066,32600
2012-10-01,5.630000,6.220000,5.250000,5.500000,4.956903,105500
2012-11-01,5.360000,6.000000,5.000000,5.250000,4.731589,55900
2012-12-01,5.210000,5.560000,5.100000,5.360000,4.830727,76500
2013-01-01,5.140000,6.750000,5.100000,6.390000,5.759020,130200
2013-02-01,6.530000,7.760000,6.420000,7.530000,6.786449,68200
2013-03-01,7.550000,8.260000,7.200000,8.100000,7.300165,48100
2013-04-01,8.100000,8.260000,7.400000,7.750000,6.984726,39400
2013-05-01,7.750000,9.020000,7.400000,8.620000,7.768820,105100
2013-06-01,8.690000,10.400000,8.510000,9.890000,8.913412,79000
2013-07-01,10.000000,10.000000,7.860000,8.680000,7.822894,175200
2013-08-01,8.750000,9.000000,8.120000,8.460000,7.624619,95700
2013-09-01,8.410000,9.020000,8.110000,8.910000,8.030183,51400
2013-10-01,8.700000,8.890000,8.110000,8.430000,7.597579,75800
2013-11-01,8.160000,8.680000,8.130000,8.350000,7.525478,78500
2013-12-01,8.350000,8.850000,7.250000,7.290000,6.570147,205400
2014-01-01,7.630000,8.000000,7.400000,8.000000,7.210041,35000
2014-02-01,7.770000,7.950000,7.510000,7.680000,6.921639,66600
2014-03-01,7.490000,8.850000,7.490000,8.840000,7.967095,98100
2014-04-01,8.840000,8.840000,7.610000,7.700000,6.939663,101100
2014-05-01,7.690000,8.500000,7.650000,8.200000,7.390290,60500
2014-06-01,8.230000,8.500000,7.700000,8.470000,7.633632,78400
2014-07-01,8.300000,8.310000,7.800000,8.150000,7.345226,148500
2014-08-01,8.140000,8.690000,7.990000,8.560000,7.714743,83000
