Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,6.780006,7.320007,4.380004,5.310005,5.310005,1911676
2010-04-01,5.370005,6.480006,5.250005,6.120006,6.120006,951410
2010-05-01,6.180006,6.600006,5.190005,5.400005,5.400005,738753
2010-06-01,5.370005,5.610005,4.650004,5.100005,5.100005,1017292
2010-07-01,5.010005,5.070005,3.930003,4.320004,4.320004,315286
2010-08-01,4.440004,4.800004,4.050004,4.230004,4.230004,141504
2010-09-01,4.260004,5.010005,4.200004,4.410004,4.410004,120913
2010-10-01,4.410004,4.860004,4.200004,4.590004,4.590004,148783
2010-11-01,4.530004,4.800004,3.902403,4.110004,4.110004,186467
2010-12-01,4.170004,4.560004,3.900003,4.200004,4.200004,180807
2011-01-01,4.170004,4.770004,4.140004,4.320004,4.320004,202272
2011-02-01,4.290004,5.130005,4.290004,4.890004,4.890004,112215
2011-03-01,4.920004,5.850005,4.710004,5.040005,5.040005,298859
2011-04-01,4.980004,5.550005,4.980004,5.519705,5.519705,139149
2011-05-01,5.520005,5.700005,4.050004,5.130005,5.130005,247877
2011-06-01,5.100005,5.219705,4.050004,4.110004,4.110004,126521
2011-07-01,4.140004,4.650004,3.240003,3.540003,3.540003,134362
2011-08-01,3.480003,4.140004,2.010002,2.220002,2.220002,240681
2011-09-01,2.310002,2.310002,1.347301,1.799401,1.799401,77028
2011-10-01,1.605001,2.220002,1.442101,1.590001,1.590001,71473
2011-11-01,1.590001,1.620001,0.900300,0.900300,0.900300,155323
2011-12-01,1.020001,1.410001,0.930000,1.290001,1.290001,433200
2012-01-01,1.290001,1.650001,1.230001,1.290001,1.290001,76639
2012-02-01,1.320001,1.920001,1.320001,1.530001,1.530001,163371
2012-03-01,1.530001,2.066402,1.410001,1.650001,1.650001,194849
2012-04-01,1.650001,1.740001,1.353001,1.530001,1.530001,124062
2012-05-01,1.530001,1.740001,1.380001,1.499701,1.499701,109130
2012-06-01,1.500001,2.100002,1.380601,1.890001,1.890001,68847
2012-07-01,1.890001,2.099402,1.506001,1.794001,1.794001,39491
2012-08-01,1.680001,1.950001,1.533001,1.560001,1.560001,31058
2012-09-01,1.560001,1.670000,1.410000,1.530000,1.530000,42445
