Date,Open,High,Low,Close,Adj Close,Volume
2014-07-01,2.000000,2.000000,2.000000,2.000000,2.000000,100
2014-08-01,2.000000,2.000000,2.000000,2.000000,2.000000,0
2014-09-01,2.000000,2.000000,0.750000,0.750000,0.750000,54600
2014-10-01,0.750000,0.750000,0.700000,0.700000,0.700000,500
2014-11-01,0.700000,0.700000,0.700000,0.700000,0.700000,0
2014-12-01,0.700000,0.700000,0.500000,0.500000,0.500000,2000
2015-01-01,0.500000,0.500000,0.150000,0.190000,0.190000,239826
2015-02-01,0.185000,0.260000,0.095000,0.100000,0.100000,531194
2015-03-01,0.100000,0.115000,0.045000,0.045000,0.045000,494500
2015-04-01,0.045000,0.105000,0.040000,0.085000,0.085000,7038000
2015-05-01,0.085000,0.100000,0.065000,0.100000,0.100000,565000
2015-06-01,0.100000,0.180000,0.100000,0.130000,0.130000,196500
2015-07-01,0.130000,0.190000,0.070000,0.140000,0.140000,1694500
2015-08-01,0.140000,0.150000,0.140000,0.150000,0.150000,130000
2015-09-01,0.150000,0.190000,0.110000,0.190000,0.190000,74000
2015-10-01,0.190000,0.190000,0.080000,0.080000,0.080000,4743000
2015-11-01,0.075000,0.075000,0.045000,0.045000,0.045000,3723000
2015-12-01,0.045000,0.050000,0.035000,0.045000,0.045000,5064000
2016-01-01,0.045000,0.100000,0.045000,0.085000,0.085000,2149000
2016-02-01,0.100000,0.145000,0.070000,0.070000,0.070000,2811000
2016-03-01,0.070000,0.090000,0.065000,0.075000,0.075000,3900000
2016-04-01,0.075000,0.100000,0.070000,0.090000,0.090000,482500
2016-05-01,0.090000,0.090000,0.070000,0.080000,0.080000,738000
2016-06-01,0.080000,0.120000,0.075000,0.100000,0.100000,1143000
2016-07-01,0.100000,0.200000,0.100000,0.140000,0.140000,3998973
2016-08-01,0.140000,0.170000,0.125000,0.140000,0.140000,1475554
2016-09-01,0.150000,0.160000,0.120000,0.140000,0.140000,2327781
2016-10-01,0.140000,0.140000,0.095000,0.100000,0.100000,5877615
2016-11-01,0.100000,0.110000,0.090000,0.095000,0.095000,3023074
2016-12-01,0.095000,0.160000,0.085000,0.150000,0.150000,10559969
2017-01-01,0.150000,0.340000,0.150000,0.270000,0.270000,20437968
2017-02-01,0.280000,0.440000,0.230000,0.345000,0.345000,16615189
2017-03-01,0.300000,0.355000,0.215000,0.260000,0.260000,13572687
2017-04-01,0.255000,0.275000,0.185000,0.200000,0.200000,14822969
2017-05-01,0.200000,0.230000,0.165000,0.200000,0.200000,15502981
2017-06-01,0.200000,0.205000,0.180000,0.190000,0.190000,6383060
2017-07-01,0.190000,0.265000,0.190000,0.245000,0.245000,8368646
2017-08-01,0.245000,0.245000,0.180000,0.185000,0.185000,5983546
2017-09-01,0.190000,0.215000,0.170000,0.195000,0.195000,5081837
2017-10-01,0.200000,0.200000,0.180000,0.180000,0.180000,2601616
2017-11-01,0.185000,0.295000,0.170000,0.260000,0.260000,17640617
2017-12-01,0.260000,0.330000,0.245000,0.270000,0.270000,16712202
2018-01-01,0.270000,0.290000,0.220000,0.235000,0.235000,11827147
2018-02-01,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-04-01,null,null,null,null,null,null
2018-05-01,null,null,null,null,null,null
2018-06-01,null,null,null,null,null,null
2018-07-01,null,null,null,null,null,null
2018-08-01,null,null,null,null,null,null
2018-09-01,null,null,null,null,null,null
2018-10-01,null,null,null,null,null,null
2018-11-01,null,null,null,null,null,null
2018-12-01,null,null,null,null,null,null
2019-01-01,0.135000,0.135000,0.130000,0.135000,0.135000,48873
2019-02-01,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-06-01,null,null,null,null,null,null
2019-07-01,null,null,null,null,null,null
2019-08-01,null,null,null,null,null,null
2019-09-01,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-11-01,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2020-01-01,null,null,null,null,null,null
2020-02-01,null,null,null,null,null,null
2020-03-01,null,null,null,null,null,null
2020-04-01,null,null,null,null,null,null
2020-05-01,null,null,null,null,null,null
2020-06-01,null,null,null,null,null,null
2020-07-01,null,null,null,null,null,null
2020-08-01,null,null,null,null,null,null
2020-09-01,null,null,null,null,null,null
2020-10-01,null,null,null,null,null,null
2020-11-01,null,null,null,null,null,null
2020-12-01,null,null,null,null,null,null
2021-01-01,null,null,null,null,null,null
2021-02-01,null,null,null,null,null,null
2021-03-01,null,null,null,null,null,null
2021-04-01,null,null,null,null,null,null
2021-05-01,null,null,null,null,null,null
2021-06-01,null,null,null,null,null,null
2021-07-01,null,null,null,null,null,null
2021-08-01,null,null,null,null,null,null
2021-09-01,null,null,null,null,null,null
2021-10-01,null,null,null,null,null,null
2021-11-01,null,null,null,null,null,null
2021-12-01,null,null,null,null,null,null
2022-01-01,null,null,null,null,null,null
2022-02-01,null,null,null,null,null,null
2022-03-01,null,null,null,null,null,null
2022-04-01,null,null,null,null,null,null
2022-05-01,null,null,null,null,null,null
2022-06-01,null,null,null,null,null,null
2022-07-01,null,null,null,null,null,null
2022-08-01,null,null,null,null,null,null
2022-09-01,null,null,null,null,null,null
2022-10-01,null,null,null,null,null,null
2022-11-01,null,null,null,null,null,null
2022-12-01,null,null,null,null,null,null
2023-01-01,null,null,null,null,null,null
2023-02-01,null,null,null,null,null,null
2023-03-01,null,null,null,null,null,null
2023-04-01,null,null,null,null,null,null
2023-05-01,null,null,null,null,null,null
2023-06-01,null,null,null,null,null,null
2023-07-01,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-09-01,null,null,null,null,null,null
2023-10-01,null,null,null,null,null,null
