Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01,316.500000,378.000000,303.000000,335.940002,335.940002,1463
2020-10-01,335.700012,336.000000,300.000000,300.000000,300.000000,132394
2020-11-01,301.500000,310.200012,294.000000,300.899994,300.899994,41290
2020-12-01,300.899994,351.600006,300.000000,330.000000,330.000000,81311
2021-01-01,336.000000,407.100006,333.000000,354.000000,354.000000,200645
2021-02-01,367.500000,465.000000,331.679993,456.000000,456.000000,155346
2021-03-01,459.299988,572.549988,384.450012,406.500000,406.500000,255780
2021-04-01,411.000000,434.700012,299.100006,350.700012,350.700012,188982
2021-05-01,348.600006,383.700012,243.000000,369.000000,369.000000,109185
2021-06-01,372.899994,388.500000,186.300003,194.100006,194.100006,666315
2021-07-01,193.199997,194.699997,121.800003,122.099998,122.099998,213908
2021-08-01,123.000000,148.800003,96.599998,147.600006,147.600006,196132
2021-09-01,147.600006,164.399994,120.300003,121.199997,121.199997,175303
2021-10-01,124.199997,124.889999,105.000000,114.000000,114.000000,70128
2021-11-01,113.699997,121.500000,77.400002,82.800003,82.800003,81295
2021-12-01,81.900002,97.500000,68.400002,87.300003,87.300003,2307203
2022-01-01,87.900002,93.000000,49.799999,58.799999,58.799999,150211
2022-02-01,59.700001,60.900002,40.799999,40.799999,40.799999,93018
2022-03-01,39.000000,47.099998,34.799999,41.700001,41.700001,320534
2022-04-01,41.700001,55.200001,37.200001,45.299999,45.299999,244425
2022-05-01,44.700001,50.700001,36.000000,38.400002,38.400002,77728
2022-06-01,38.099998,55.500000,36.599998,50.700001,50.700001,166646
2022-07-01,51.299999,54.299999,44.700001,45.900002,45.900002,72158
2022-08-01,46.500000,63.599998,37.500000,46.500000,46.500000,111270
2022-09-01,45.599998,50.400002,37.500000,49.200001,49.200001,77065
2022-10-01,51.599998,63.000000,45.299999,54.000000,54.000000,116204
2022-11-01,53.610001,54.599998,48.000000,51.599998,51.599998,30902
2022-12-01,51.299999,51.900002,15.000000,19.889999,19.889999,293809
2023-01-01,17.900000,23.840000,16.049999,22.000000,22.000000,1348700
2023-02-01,20.943001,25.591000,20.040001,25.000000,25.000000,1028600
2023-03-01,25.340000,26.430000,18.250000,21.190001,21.190001,2561900
2023-04-01,21.209999,33.250000,20.049999,32.730000,32.730000,2829800
2023-05-01,33.130001,37.480000,29.440001,37.130001,37.130001,1912500
2023-06-01,37.020000,57.700001,36.744999,44.400002,44.400002,7942500
2023-07-01,42.930000,49.825001,41.610001,49.599998,49.599998,3037600
2023-08-01,49.500000,56.990002,46.560001,52.950001,52.950001,4435700
2023-09-01,52.990002,56.389999,46.040001,46.980000,46.980000,5108300
2023-10-01,46.939999,49.570000,43.070000,46.880001,46.880001,1523800
