Date,Open,High,Low,Close,Adj Close,Volume
2012-03-01,2.800000,4.020000,2.280000,3.900000,3.900000,159315
2012-04-01,4.160000,7.000000,3.400000,5.000000,5.000000,91910
2012-05-01,5.000000,5.000000,1.400000,1.600000,1.600000,125780
2012-06-01,1.600000,1.800000,1.200000,1.600000,1.600000,23775
2012-07-01,1.600000,1.600000,0.600000,0.800000,0.800000,68735
2012-08-01,0.800000,1.800000,0.400000,1.560000,1.560000,152120
2012-09-01,1.500000,2.000000,1.100000,1.100000,1.100000,45695
2012-10-01,1.300000,1.400000,0.700000,0.800000,0.800000,86580
2012-11-01,0.800000,2.000000,0.700000,1.260000,1.260000,52480
2012-12-01,1.260000,1.900000,0.200000,1.400000,1.400000,91685
2013-01-01,1.400000,1.400000,0.700000,1.000000,1.000000,53190
2013-02-01,1.200000,1.700000,0.800000,1.680000,1.680000,54205
2013-03-01,1.400000,1.800000,0.980000,1.180000,1.180000,104280
2013-04-01,1.200000,1.780000,1.000000,1.400000,1.400000,37355
2013-05-01,1.400000,1.800000,1.000000,1.800000,1.800000,84350
2013-06-01,1.800000,6.500000,1.620000,6.500000,6.500000,376050
2013-07-01,6.460000,10.800000,2.920000,6.600000,6.600000,441850
2013-08-01,6.600000,6.900000,2.420000,4.000000,4.000000,146500
2013-09-01,4.000000,7.000000,3.980000,6.200000,6.200000,58800
2013-10-01,6.200000,6.300000,3.100000,4.500000,4.500000,101050
2013-11-01,4.800000,5.000000,3.020000,4.300000,4.300000,41500
2013-12-01,4.300000,5.000000,3.700000,5.000000,5.000000,29700
2014-01-01,5.000000,5.000000,3.000000,3.200000,3.200000,98650
2014-02-01,3.200000,3.500000,1.600000,3.160000,3.160000,50900
2014-03-01,3.000000,3.800000,2.060000,2.900000,2.900000,47750
2014-04-01,2.620000,3.500000,1.500000,1.800000,1.800000,65150
2014-05-01,1.800000,2.000000,0.900000,1.700000,1.700000,146350
2014-06-01,1.700000,2.300000,1.100000,1.300000,1.300000,41500
2014-07-01,1.300000,1.400000,0.700000,0.940000,0.940000,87300
2014-08-01,0.722000,1.100000,0.242000,0.400000,0.400000,245050
2014-09-01,0.420000,0.700000,0.280000,0.400000,0.400000,212350
2014-10-01,0.400000,1.120000,0.260000,0.442000,0.442000,68800
2014-11-01,0.442000,1.140000,0.442000,0.990000,0.990000,37850
2014-12-01,0.870000,1.060000,0.360000,0.400000,0.400000,89850
2015-01-01,0.320000,0.520000,0.320000,0.420000,0.420000,126850
2015-02-01,0.420000,0.430000,0.200000,0.320000,0.320000,52050
2015-03-01,0.320000,0.760000,0.320000,0.480000,0.480000,72000
2015-04-01,0.480000,0.560000,0.420000,0.500000,0.500000,20250
2015-05-01,0.310000,0.520000,0.310000,0.400000,0.400000,24750
2015-06-01,0.400000,0.630000,0.260000,0.458000,0.458000,40950
2015-07-01,0.400000,0.540000,0.300000,0.540000,0.540000,31950
2015-08-01,0.540000,0.540000,0.340000,0.420000,0.420000,18700
2015-09-01,0.448000,0.500000,0.316000,0.500000,0.500000,21400
2015-10-01,0.500000,1.000000,0.260000,0.440000,0.440000,69600
2015-11-01,0.500000,0.700000,0.204000,0.600000,0.600000,28150
2015-12-01,0.600000,1.140000,0.104000,1.000000,1.000000,49050
2016-01-01,0.900000,1.200000,0.506000,1.000000,1.000000,112700
