Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,7.790000,8.870000,7.360000,7.640000,7.640000,1879010
2010-04-01,7.700000,8.405000,7.321000,7.870000,7.870000,780145
2010-05-01,7.920000,8.690000,7.210000,7.980000,7.980000,2283024
2010-06-01,7.720000,8.560000,7.560000,8.340000,8.340000,2881104
2010-07-01,8.320000,8.520000,7.110000,7.500000,7.500000,1315313
2010-08-01,7.590000,7.850000,6.870000,7.150000,7.150000,1203832
2010-09-01,7.260000,8.260000,7.040000,8.010000,8.010000,958848
2010-10-01,8.080000,8.680000,7.670000,7.860000,7.860000,1908973
2010-11-01,7.860000,7.950000,6.910000,7.130000,7.130000,1455886
2010-12-01,7.220000,7.580000,7.050000,7.260000,7.260000,965127
2011-01-01,7.310000,7.490000,7.000000,7.110000,7.110000,2511127
2011-02-01,7.160000,8.410000,7.080000,7.290000,7.290000,791043
2011-03-01,7.320000,7.880100,6.770000,7.600000,7.600000,1322077
2011-04-01,7.680000,7.960000,7.160000,7.500000,7.500000,549638
2011-05-01,7.500000,7.690000,7.100000,7.450000,7.450000,1051001
2011-06-01,7.450000,7.660000,6.830000,7.490000,7.490000,1262663
2011-07-01,7.500000,7.939900,6.860000,7.160000,7.160000,778298
2011-08-01,7.210000,7.710000,5.470000,6.600000,6.600000,1320710
2011-09-01,6.600000,7.240000,5.740000,6.010000,6.010000,1664174
2011-10-01,5.930000,7.970000,5.530000,7.360000,7.360000,1831175
2011-11-01,7.030000,8.200000,7.000000,8.150000,8.150000,1803941
2011-12-01,7.980000,10.220000,7.930000,9.820000,9.820000,1822096
2012-01-01,9.820000,10.870000,9.180000,10.310000,10.310000,1278146
2012-02-01,10.360000,11.640000,9.640000,11.030000,11.030000,2622246
2012-03-01,11.050000,11.330000,10.152000,10.660000,10.660000,1618334
2012-04-01,10.600000,11.190000,9.361000,10.440000,10.440000,1332551
2012-05-01,10.420000,10.900000,9.650000,10.490000,10.490000,2014017
2012-06-01,10.230000,11.600000,10.130000,11.590000,11.590000,1420656
2012-07-01,11.600000,14.990000,11.260000,13.020000,13.020000,1855799
2012-08-01,13.000000,14.420000,11.950000,12.940000,12.940000,5957805
2012-09-01,12.940000,13.818000,12.900000,13.020000,13.020000,6832210
2012-10-01,13.080000,13.080000,12.970000,12.990000,12.990000,359312
2012-11-01,null,null,null,null,null,null
2012-12-01,null,null,null,null,null,null
2013-01-01,null,null,null,null,null,null
2013-02-01,null,null,null,null,null,null
2013-03-01,null,null,null,null,null,null
2013-04-01,null,null,null,null,null,null
2013-05-01,null,null,null,null,null,null
2013-06-01,null,null,null,null,null,null
2013-07-01,null,null,null,null,null,null
2013-08-01,null,null,null,null,null,null
2013-09-01,null,null,null,null,null,null
2013-10-01,null,null,null,null,null,null
2013-11-01,null,null,null,null,null,null
2013-12-01,null,null,null,null,null,null
2014-01-01,null,null,null,null,null,null
2014-02-01,null,null,null,null,null,null
2014-03-01,null,null,null,null,null,null
2014-04-01,null,null,null,null,null,null
2014-05-01,null,null,null,null,null,null
2014-06-01,null,null,null,null,null,null
2014-07-01,null,null,null,null,null,null
2014-08-01,null,null,null,null,null,null
2014-09-01,null,null,null,null,null,null
2014-10-01,null,null,null,null,null,null
2014-11-01,null,null,null,null,null,null
2014-12-01,null,null,null,null,null,null
2015-01-01,null,null,null,null,null,null
2015-02-01,null,null,null,null,null,null
2015-03-01,null,null,null,null,null,null
2015-04-01,null,null,null,null,null,null
2015-05-01,null,null,null,null,null,null
2015-06-01,null,null,null,null,null,null
2015-07-01,null,null,null,null,null,null
2015-08-01,null,null,null,null,null,null
2015-09-01,null,null,null,null,null,null
2015-10-01,null,null,null,null,null,null
2015-11-01,null,null,null,null,null,null
2015-12-01,null,null,null,null,null,null
2016-01-01,null,null,null,null,null,null
2016-02-01,null,null,null,null,null,null
2016-03-01,null,null,null,null,null,null
2016-04-01,null,null,null,null,null,null
2016-05-01,null,null,null,null,null,null
2016-06-01,null,null,null,null,null,null
2016-07-01,null,null,null,null,null,null
2016-08-01,null,null,null,null,null,null
2016-09-01,null,null,null,null,null,null
2016-10-01,null,null,null,null,null,null
2016-11-01,null,null,null,null,null,null
2016-12-01,null,null,null,null,null,null
2017-01-01,null,null,null,null,null,null
2017-02-01,null,null,null,null,null,null
2017-03-01,null,null,null,null,null,null
2017-04-01,null,null,null,null,null,null
2017-05-01,null,null,null,null,null,null
2017-06-01,null,null,null,null,null,null
2017-07-01,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-10-01,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-04-01,null,null,null,null,null,null
2018-05-01,null,null,null,null,null,null
2018-06-01,null,null,null,null,null,null
2018-07-01,null,null,null,null,null,null
2018-08-01,null,null,null,null,null,null
2018-09-01,null,null,null,null,null,null
2018-10-01,null,null,null,null,null,null
2018-11-01,null,null,null,null,null,null
2018-12-01,null,null,null,null,null,null
2019-01-01,null,null,null,null,null,null
2019-02-01,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-06-01,null,null,null,null,null,null
2019-07-01,null,null,null,null,null,null
2019-08-01,null,null,null,null,null,null
2019-09-01,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-11-01,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2020-01-01,null,null,null,null,null,null
2020-02-01,null,null,null,null,null,null
2020-03-01,null,null,null,null,null,null
2020-04-01,null,null,null,null,null,null
2020-05-01,null,null,null,null,null,null
2020-06-01,null,null,null,null,null,null
2020-07-01,null,null,null,null,null,null
2020-08-01,null,null,null,null,null,null
2020-09-01,null,null,null,null,null,null
2020-10-01,null,null,null,null,null,null
2020-11-01,null,null,null,null,null,null
2020-12-01,null,null,null,null,null,null
2021-01-01,null,null,null,null,null,null
2021-02-01,null,null,null,null,null,null
2021-03-01,null,null,null,null,null,null
2021-04-01,null,null,null,null,null,null
2021-05-01,null,null,null,null,null,null
2021-06-01,null,null,null,null,null,null
2021-07-01,null,null,null,null,null,null
2021-08-01,null,null,null,null,null,null
2021-09-01,null,null,null,null,null,null
2021-10-01,null,null,null,null,null,null
2021-11-01,null,null,null,null,null,null
2021-12-01,null,null,null,null,null,null
2022-01-01,null,null,null,null,null,null
2022-02-01,null,null,null,null,null,null
2022-03-01,null,null,null,null,null,null
2022-04-01,null,null,null,null,null,null
2022-05-01,null,null,null,null,null,null
2022-06-01,null,null,null,null,null,null
2022-07-01,null,null,null,null,null,null
2022-08-01,null,null,null,null,null,null
2022-09-01,null,null,null,null,null,null
2022-10-01,null,null,null,null,null,null
2022-11-01,null,null,null,null,null,null
2022-12-01,null,null,null,null,null,null
2023-01-01,null,null,null,null,null,null
2023-02-01,null,null,null,null,null,null
2023-03-01,null,null,null,null,null,null
2023-04-01,null,null,null,null,null,null
2023-05-01,null,null,null,null,null,null
2023-06-01,null,null,null,null,null,null
2023-07-01,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-09-01,null,null,null,null,null,null
2023-10-01,null,null,null,null,null,null
