Date,Open,High,Low,Close,Adj Close,Volume
2010-04-01,16632000.000000,17836800.000000,12715200.000000,15460800.000000,13741895.000000,0
2010-05-01,14913600.000000,21595200.000000,13440000.000000,16368000.000000,14548232.000000,2
2010-06-01,16934400.000000,20457600.000000,12475200.000000,18388800.000000,16344362.000000,0
2010-07-01,18230400.000000,19790400.000000,12595200.000000,15024000.000000,13353656.000000,0
2010-08-01,14265600.000000,21292800.000000,14078400.000000,21048000.000000,18707918.000000,0
2010-09-01,20020800.000000,20097600.000000,12950400.000000,13723200.000000,12197478.000000,8
2010-10-01,13569600.000000,14894400.000000,10968000.000000,11059200.000000,9829657.000000,2
2010-11-01,10958400.000000,11414400.000000,8740800.000000,9331200.000000,8293773.000000,2
2010-12-01,8884800.000000,8884800.000000,7348800.000000,7502400.000000,6668295.000000,0
2011-01-01,7372800.000000,7526400.000000,5481600.000000,5956800.000000,5537814.500000,8
2011-02-01,5779200.000000,5836800.000000,4689600.000000,5088960.000000,4731017.000000,17
2011-03-01,5044800.000000,6956160.000000,4811520.000000,5577600.000000,5185286.000000,48
2011-04-01,5439360.000000,6215040.000000,4953600.000000,5005440.000000,4708220.000000,40
2011-05-01,4941120.000000,6105600.000000,4941120.000000,5229120.000000,4918619.500000,27
2011-06-01,5257920.000000,7494720.000000,5255040.000000,6170880.000000,5804457.000000,30
2011-07-01,6166080.000000,7497600.000000,5592000.000000,7029120.000000,6611736.000000,44
2011-08-01,6740160.000000,11088000.000000,6622080.000000,7787520.000000,7325103.000000,43
2011-09-01,7774080.000000,9563520.000000,5896320.000000,8426880.000000,7926497.500000,45
2011-10-01,8614080.000000,9958080.000000,4817280.000000,5255040.000000,4942999.000000,40
2011-11-01,5769600.000000,6990720.000000,4695360.000000,5326080.000000,5009821.500000,34
2011-12-01,5376000.000000,6702720.000000,4919040.000000,5466240.000000,5141658.500000,32
2012-01-01,5130240.000000,5451840.000000,3456000.000000,3733440.000000,3511750.500000,35
2012-02-01,3574080.000000,3613440.000000,2946240.000000,3245760.000000,3053028.750000,31
2012-03-01,3209280.000000,3812160.000000,2760960.000000,2875200.000000,2704472.750000,39
2012-04-01,2902080.000000,3830400.000000,2856960.000000,3338880.000000,3140619.750000,38
2012-05-01,3344640.000000,4800000.000000,3223680.000000,4542720.000000,4272976.500000,38
2012-06-01,4843200.000000,5288640.000000,3693120.000000,3724800.000000,3503623.750000,39
2012-07-01,3652800.000000,5020800.000000,3471360.000000,3586560.000000,3373592.500000,50
2012-08-01,3547200.000000,3740160.000000,2929920.000000,3172800.000000,2984401.500000,43
2012-09-01,3187200.000000,3753600.000000,2804160.000000,3456000.000000,3250784.750000,42
2012-10-01,3387840.000000,4060800.000000,3258240.000000,3823680.000000,3596632.750000,41
2012-11-01,3797760.000000,4287360.000000,3267840.000000,3469440.000000,3263427.000000,37
2012-12-01,3428160.000000,3570240.000000,2963520.000000,3168960.000000,2980789.750000,27
2013-01-01,2982720.000000,2982720.000000,2407680.000000,2499840.000000,2351400.750000,37
2013-02-01,2436480.000000,2466240.000000,2113920.000000,2152320.000000,2024517.000000,52
2013-03-01,2208000.000000,2308800.000000,1946880.000000,2023680.000000,1903515.000000,58
2013-04-01,2029440.000000,2398080.000000,1852800.000000,1855680.000000,1745491.125000,103
2013-05-01,1871040.000000,1904640.000000,1472640.000000,1539840.000000,1448405.125000,84
2013-06-01,1530240.000000,1722240.000000,1401600.000000,1506240.000000,1416800.375000,98
2013-07-01,1471680.000000,1555200.000000,1268160.000000,1385280.000000,1303023.000000,85
2013-08-01,1332480.000000,1616160.000000,1307520.000000,1534800.000000,1443664.625000,58
2013-09-01,1464000.000000,1518960.000000,1164000.000000,1226880.000000,1154028.875000,65
2013-10-01,1233360.000000,1308000.000000,1070400.000000,1091280.000000,1026480.625000,64
2013-11-01,1084560.000000,1176000.000000,1038240.000000,1050720.000000,988328.937500,39
2013-12-01,1052640.000000,1084560.000000,898800.000000,900480.000000,847010.187500,51
2014-01-01,921840.000000,966000.000000,832800.000000,917280.000000,862812.625000,56
2014-02-01,926160.000000,1001520.000000,725280.000000,742320.000000,698241.562500,69
2014-03-01,765840.000000,774240.000000,635280.000000,647520.000000,609070.750000,89
2014-04-01,643920.000000,738000.000000,600480.000000,666000.000000,626453.375000,138
2014-05-01,664320.000000,695040.000000,574560.000000,574560.000000,540442.937500,83
2014-06-01,568080.000000,582720.000000,478080.000000,481920.000000,453303.937500,116
2014-07-01,476160.000000,545760.000000,443280.000000,538560.000000,506580.750000,136
2014-08-01,537840.000000,562800.000000,439440.000000,443520.000000,417184.062500,87
2014-09-01,442560.000000,473520.000000,411360.000000,450000.000000,423279.312500,161
2014-10-01,453840.000000,687600.000000,408240.000000,412800.000000,388288.281250,343
2014-11-01,408000.000000,427920.000000,327600.000000,330720.000000,311082.062500,168
