Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,45.009998,54.410000,33.869999,43.919998,43.919998,3452200
2021-02-01,44.779999,54.150002,40.000000,48.060001,48.060001,3686500
2021-03-01,49.090000,63.410000,38.439999,43.630001,43.630001,8117900
2021-04-01,44.180000,46.549999,31.139999,32.049999,32.049999,3109200
2021-05-01,32.580002,32.779999,23.690001,27.530001,27.530001,2594700
2021-06-01,27.799999,33.959999,27.480000,30.889999,30.889999,2926300
2021-07-01,31.010000,35.630001,26.709999,30.280001,30.280001,2561800
2021-08-01,30.709999,31.719999,21.809999,22.000000,22.000000,4105900
2021-09-01,22.219999,23.610001,9.860000,9.980000,9.980000,15071900
2021-10-01,10.300000,11.850000,8.400000,8.630000,8.630000,9736700
2021-11-01,8.610000,9.290000,6.930000,7.030000,7.030000,7692400
2021-12-01,7.150000,7.545000,5.870000,6.660000,6.660000,10761000
2022-01-01,6.960000,6.960000,4.070000,4.870000,4.870000,6660100
2022-02-01,4.910000,5.000000,3.770000,4.300000,4.300000,5517000
2022-03-01,4.280000,4.470000,3.360000,3.510000,3.510000,5756300
2022-04-01,3.200000,3.580000,3.060000,3.110000,3.110000,12607900
2022-05-01,3.170000,3.580000,2.800000,3.490000,3.490000,6833200
2022-06-01,3.470000,4.529000,3.320000,4.240000,4.240000,11903000
2022-07-01,4.200000,5.370000,3.680000,5.160000,5.160000,9823000
2022-08-01,5.070000,5.655000,4.720000,5.440000,5.440000,4941700
2022-09-01,5.430000,5.500000,4.450000,5.280000,5.280000,3857200
2022-10-01,5.370000,6.500000,4.780000,6.220000,6.220000,4061500
2022-11-01,6.270000,6.700000,4.250000,6.220000,6.220000,3331700
2022-12-01,6.130000,9.170000,6.130000,8.530000,8.530000,5630800
2023-01-01,8.900000,8.990000,5.970000,6.860000,6.860000,4728000
2023-02-01,6.880000,9.230000,6.760000,8.920000,8.920000,4707500
2023-03-01,9.060000,9.210000,6.300000,6.510000,6.510000,5567400
2023-04-01,6.580000,7.090000,5.490000,6.500000,6.500000,5263300
2023-05-01,6.560000,9.650000,3.990000,6.960000,6.960000,81084300
2023-06-01,6.900000,7.400000,5.970000,6.700000,6.700000,17427400
2023-07-01,6.700000,7.510000,6.080000,7.350000,7.350000,8426100
2023-08-01,7.330000,7.540000,6.480000,7.090000,7.090000,7436500
2023-09-01,7.600000,8.000000,2.550000,3.780000,3.780000,58525400
2023-10-01,3.790000,4.370000,3.615000,3.730000,3.730000,8807900
