Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,3.350000,5.170000,3.240000,5.080000,5.080000,12169900
2010-04-01,5.180000,6.150000,4.930000,5.920000,5.920000,10608000
2010-05-01,6.300000,6.300000,3.910000,5.050000,5.050000,12249500
2010-06-01,5.130000,5.150000,3.120000,3.180000,3.180000,19141400
2010-07-01,3.240000,3.860000,3.030000,3.740000,3.740000,7237900
2010-08-01,3.810000,4.160000,3.450000,3.600000,3.600000,5369200
2010-09-01,3.660000,4.290000,3.600000,3.750000,3.750000,4813600
2010-10-01,3.790000,4.540000,3.640000,4.310000,4.310000,4583700
2010-11-01,4.310000,4.720000,3.920000,4.110000,4.110000,4352100
2010-12-01,4.200000,5.140000,4.120000,4.660000,4.660000,4933200
2011-01-01,4.730000,6.280000,4.440000,5.840000,5.840000,13751100
2011-02-01,6.160000,6.450000,5.640000,6.100000,6.100000,24599700
2011-03-01,6.130000,6.380000,5.620000,6.250000,6.250000,13549000
2011-04-01,6.270000,7.730000,6.110000,7.560000,7.560000,14152000
2011-05-01,7.620000,7.850000,6.170000,7.120000,7.120000,17183100
2011-06-01,7.110000,7.160000,5.750000,6.120000,6.120000,13496800
2011-07-01,6.120000,6.250000,5.340000,5.440000,5.440000,6758600
2011-08-01,5.560000,5.900000,4.350000,5.730000,5.730000,15902400
2011-09-01,5.760000,5.770000,4.190000,4.410000,4.410000,9899400
2011-10-01,4.380000,5.230000,3.550000,4.910000,4.910000,12507700
2011-11-01,4.730000,5.210000,4.290000,5.200000,5.200000,8839600
2011-12-01,5.170000,5.170000,4.100000,4.410000,4.410000,7534900
2012-01-01,4.510000,5.750000,4.150000,5.310000,5.310000,17234600
2012-02-01,5.360000,5.770000,4.850000,4.910000,4.910000,10957500
2012-03-01,4.910000,5.560000,4.590000,5.400000,5.400000,10160800
2012-04-01,5.570000,5.640000,4.740000,4.760000,4.760000,7393300
2012-05-01,4.780000,5.240000,4.330000,5.140000,5.140000,9050400
2012-06-01,5.000000,6.080000,4.750000,5.950000,5.950000,11549700
2012-07-01,5.940000,6.330000,5.550000,5.630000,5.630000,7538000
2012-08-01,5.680000,5.720000,4.900000,4.970000,4.970000,9374800
2012-09-01,4.970000,6.020000,4.810000,5.450000,5.450000,10996400
2012-10-01,5.490000,5.550000,3.360000,4.720000,4.720000,21842500
2012-11-01,4.700000,4.850000,4.080000,4.380000,4.380000,11707200
2012-12-01,4.420000,4.450000,3.890000,4.160000,4.160000,13902600
2013-01-01,4.270000,4.750000,3.910000,3.970000,3.970000,15122000
2013-02-01,4.000000,4.970000,3.980000,4.440000,4.440000,25323900
2013-03-01,4.550000,5.950000,1.660000,1.830000,1.830000,79664700
2013-04-01,1.850000,1.890000,1.490000,1.680000,1.680000,31353300
2013-05-01,1.680000,2.960000,1.550000,2.180000,2.180000,41093800
2013-06-01,2.260000,2.330000,1.800000,2.110000,2.110000,24101000
2013-07-01,2.220000,3.300000,2.070000,3.000000,3.000000,24079600
2013-08-01,3.020000,3.500000,2.750000,2.990000,2.990000,15528500
2013-09-01,3.060000,4.190000,2.940000,3.940000,3.940000,17154100
2013-10-01,3.920000,5.240000,3.340000,3.530000,3.530000,43160300
2013-11-01,3.560000,4.330000,3.050000,4.180000,4.180000,20078600
2013-12-01,4.190000,4.470000,3.650000,4.340000,4.340000,26578600
2014-01-01,4.340000,4.920000,4.030000,4.190000,4.190000,23685100
2014-02-01,4.180000,4.840000,3.750000,4.260000,4.260000,14900700
2014-03-01,4.190000,5.580000,4.060000,4.580000,4.580000,27023600
2014-04-01,4.790000,4.900000,3.090000,3.600000,3.600000,27782900
2014-05-01,3.580000,3.730000,2.870000,3.600000,3.600000,19181900
2014-06-01,3.650000,4.500000,3.410000,4.030000,4.030000,18752200
2014-07-01,4.080000,4.220000,3.030000,3.130000,3.130000,14150300
2014-08-01,3.150000,3.450000,2.980000,3.230000,3.230000,9800200
2014-09-01,3.230000,3.390000,2.620000,2.640000,2.640000,18394800
2014-10-01,2.650000,3.590000,2.310000,3.320000,3.320000,25930300
2014-11-01,3.300000,4.350000,3.030000,4.210000,4.210000,16295200
2014-12-01,4.170000,5.250000,3.420000,5.070000,5.070000,22697200
2015-01-01,5.100000,9.640000,4.870000,8.950000,8.950000,100025200
2015-02-01,9.130000,12.020000,8.050000,11.260000,11.260000,85227400
2015-03-01,11.530000,14.400000,10.450000,10.770000,10.770000,119160600
2015-04-01,10.700000,12.130000,8.630000,8.810000,8.810000,88322000
2015-05-01,8.910000,11.170000,8.810000,9.480000,9.480000,60076600
2015-06-01,9.570000,12.810000,9.190000,12.000000,12.000000,86387300
2015-07-01,12.120000,13.900000,10.280000,13.360000,13.360000,70442900
2015-08-01,13.310000,14.080000,7.070000,8.710000,8.710000,83016900
2015-09-01,8.520000,13.250000,8.420000,9.010000,9.010000,67810600
2015-10-01,9.000000,12.430000,8.660000,11.390000,11.390000,49563300
2015-11-01,11.430000,14.930000,11.350000,13.080000,13.080000,60048800
2015-12-01,13.130000,13.210000,7.810000,8.310000,8.310000,73340900
2016-01-01,8.020000,8.390000,4.660000,4.970000,4.970000,65137500
2016-02-01,5.000000,8.250000,4.560000,7.860000,7.860000,54342400
2016-03-01,8.080000,9.740000,6.600000,7.420000,7.420000,64411400
2016-04-01,7.340000,9.190000,7.220000,7.860000,7.860000,45364900
2016-05-01,7.870000,8.720000,6.470000,7.790000,7.790000,56416300
2016-06-01,7.740000,7.990000,5.110000,5.490000,5.490000,51330800
2016-07-01,5.430000,6.240000,4.450000,4.860000,4.860000,54131200
2016-08-01,4.890000,6.140000,4.550000,5.070000,5.070000,40891700
2016-09-01,5.180000,6.120000,4.890000,5.630000,5.630000,37698500
2016-10-01,5.580000,5.940000,4.840000,5.680000,5.680000,32026100
2016-11-01,5.680000,7.800000,5.140000,6.480000,6.480000,52146800
2016-12-01,6.530000,6.880000,5.260000,5.350000,5.350000,34551700
2017-01-01,5.430000,6.390000,5.310000,5.920000,5.920000,35986500
2017-02-01,5.940000,6.990000,5.800000,6.350000,6.350000,25964800
2017-03-01,6.380000,6.950000,5.680000,6.340000,6.340000,29255400
2017-04-01,6.500000,7.880000,6.030000,7.040000,7.040000,25348500
2017-05-01,7.000000,7.800000,5.560000,5.850000,5.850000,33464000
2017-06-01,6.090000,6.490000,5.260000,6.220000,6.220000,31012000
2017-07-01,6.180000,6.340000,5.510000,5.530000,5.530000,16778900
2017-08-01,5.910000,6.640000,4.940000,6.390000,6.390000,26059400
2017-09-01,6.470000,6.670000,5.860000,6.140000,6.140000,20596700
2017-10-01,6.210000,6.600000,4.400000,4.660000,4.660000,31709700
2017-11-01,4.680000,4.900000,4.040000,4.570000,4.570000,42078000
2017-12-01,4.590000,4.680000,3.900000,4.140000,4.140000,34483100
2018-01-01,4.160000,5.250000,3.770000,3.940000,3.940000,46458500
2018-02-01,4.000000,4.210000,3.330000,3.730000,3.730000,30870300
2018-03-01,3.710000,4.520000,3.560000,3.920000,3.920000,27956600
2018-04-01,3.930000,4.700000,3.750000,4.220000,4.220000,20731100
2018-05-01,4.250000,5.000000,4.050000,4.900000,4.900000,21875100
2018-06-01,4.940000,4.970000,2.920000,3.020000,3.020000,39321100
2018-07-01,3.000000,3.290000,2.370000,2.590000,2.590000,21666000
2018-08-01,2.570000,3.180000,2.230000,2.920000,2.920000,28362700
2018-09-01,2.930000,3.360000,2.610000,3.200000,3.200000,19430200
2018-10-01,3.230000,3.240000,1.900000,1.980000,1.980000,37230000
2018-11-01,2.010000,3.890000,2.000000,3.350000,3.350000,46830200
2018-12-01,3.430000,3.470000,1.560000,1.870000,1.870000,49523900
2019-01-01,1.820000,2.590000,1.810000,2.240000,2.240000,32836900
2019-02-01,2.250000,3.130000,2.110000,2.950000,2.950000,26469400
2019-03-01,2.950000,4.440000,2.680000,3.850000,3.850000,45910400
2019-04-01,4.100000,4.670000,3.880000,4.420000,4.420000,31451200
2019-05-01,4.500000,4.840000,4.010000,4.280000,4.280000,26969500
2019-06-01,4.250000,6.300000,3.980000,5.830000,5.830000,58602300
2019-07-01,5.930000,7.250000,5.150000,6.940000,6.940000,35794400
2019-08-01,7.020000,7.100000,4.770000,4.990000,4.990000,44407000
2019-09-01,4.930000,5.000000,4.080000,4.280000,4.280000,34137600
2019-10-01,4.330000,4.450000,3.730000,4.220000,4.220000,30052000
2019-11-01,4.240000,5.580000,3.960000,5.210000,5.210000,28688700
2019-12-01,5.190000,5.610000,4.660000,4.720000,4.720000,36235600
2020-01-01,4.760000,5.110000,3.940000,3.940000,3.940000,37092800
2020-02-01,4.000000,4.110000,2.910000,3.090000,3.090000,54931700
2020-03-01,3.120000,3.300000,1.800000,2.450000,2.450000,57432400
2020-04-01,2.360000,3.160000,2.130000,2.800000,2.800000,28860000
2020-05-01,2.750000,3.550000,2.480000,2.960000,2.960000,36376500
2020-06-01,3.000000,3.800000,2.860000,3.280000,3.280000,57063600
2020-07-01,3.230000,3.550000,2.900000,2.970000,2.970000,32679900
2020-08-01,3.000000,3.660000,2.630000,2.810000,2.810000,36802600
2020-09-01,2.740000,3.040000,2.320000,2.520000,2.520000,34757100
2020-10-01,2.550000,2.860000,2.060000,2.090000,2.090000,30201200
2020-11-01,2.150000,3.020000,2.130000,2.800000,2.800000,29496300
2020-12-01,2.870000,3.180000,2.480000,2.520000,2.520000,53263100
2021-01-01,2.550000,4.830000,2.520000,3.710000,3.710000,59039200
2021-02-01,3.700000,5.950000,3.570000,5.330000,5.330000,62989300
2021-03-01,5.420000,5.440000,3.210000,3.600000,3.600000,60116800
2021-04-01,3.660000,3.800000,3.060000,3.460000,3.460000,27604400
2021-05-01,3.520000,3.520000,2.870000,3.040000,3.040000,28740500
2021-06-01,3.080000,3.730000,2.540000,2.640000,2.640000,51284500
2021-07-01,2.690000,2.750000,2.150000,2.270000,2.270000,26508000
2021-08-01,2.270000,2.380000,1.260000,1.630000,1.630000,46714300
2021-09-01,1.650000,2.430000,1.580000,1.820000,1.820000,132923100
2021-10-01,1.850000,1.970000,1.440000,1.500000,1.500000,37761700
2021-11-01,1.500000,1.680000,1.270000,1.390000,1.390000,42720000
2021-12-01,1.390000,1.410000,1.070000,1.090000,1.090000,60320700
2022-01-01,1.090000,1.180000,0.760000,1.080000,1.080000,40999700
2022-02-01,1.040000,1.080000,0.770000,0.990000,0.990000,38088500
2022-03-01,0.950000,1.060000,0.610000,0.650000,0.650000,58016500
2022-04-01,0.650000,0.680000,0.410000,0.530000,0.530000,43784700
2022-05-01,0.560000,0.780000,0.450000,0.520000,0.520000,51271800
2022-06-01,0.560000,1.270000,0.460000,1.240000,1.240000,115492800
2022-07-01,1.240000,1.480000,1.000000,1.170000,1.170000,30561300
2022-08-01,1.160000,2.890000,1.070000,2.460000,2.460000,59182300
2022-09-01,2.420000,4.010000,1.260000,1.720000,1.720000,155301700
2022-10-01,1.750000,1.850000,1.040000,1.150000,1.150000,39158200
2022-11-01,1.170000,1.210000,0.620000,0.640000,0.640000,36675000
2022-12-01,0.630000,0.720000,0.500000,0.650000,0.650000,38340400
2023-01-01,0.680000,0.860000,0.600000,0.740000,0.740000,19623400
2023-02-01,0.740000,0.770000,0.550000,0.560000,0.560000,12661900
2023-03-01,0.560000,0.700000,0.450000,0.630000,0.630000,19192400
2023-04-01,0.620000,0.640000,0.480000,0.570000,0.570000,8684600
2023-05-01,0.570000,0.700000,0.470000,0.500000,0.500000,13727200
2023-06-01,0.510000,0.530000,0.410000,0.510000,0.510000,11768900
2023-07-01,0.520000,0.520000,0.430000,0.430000,0.430000,7744100
2023-08-01,0.440000,0.490000,0.120000,0.140000,0.140000,94516600
2023-09-01,0.140000,0.160000,0.110000,0.130000,0.130000,28325600
2023-10-01,0.130000,0.140000,0.100000,0.110000,0.110000,16541700
