Date,Open,High,Low,Close,Adj Close,Volume
2012-09-01,19.850000,20.549999,19.530001,19.780001,15.144779,908000
2012-10-01,19.870001,20.030001,18.709999,18.950001,14.535927,665600
2012-11-01,19.100000,19.500000,18.250000,19.129999,14.673998,950200
2012-12-01,19.180000,19.940001,19.040001,19.320000,14.819740,703300
2013-01-01,19.860001,20.809999,19.719999,20.540001,15.887494,855400
2013-02-01,20.690001,21.000000,20.240000,20.850000,16.127281,710300
2013-03-01,20.690001,21.690001,20.600000,21.350000,16.514025,837500
2013-04-01,21.350000,21.700001,20.450001,21.639999,16.911301,1690900
2013-05-01,21.709999,22.790001,21.500000,22.420000,17.520859,2112800
2013-06-01,22.450001,22.799999,21.209999,21.740000,16.989449,2863600
2013-07-01,21.940001,22.730000,21.629999,22.549999,17.679218,2157400
2013-08-01,22.740000,24.000000,21.930000,21.969999,17.224497,1485700
2013-09-01,22.219999,23.160000,22.020000,22.540001,17.671373,1321600
2013-10-01,22.620001,23.820000,22.260000,23.690001,18.677374,1806400
2013-11-01,23.709999,24.280001,23.500000,24.040001,18.953314,1528000
2013-12-01,24.080000,24.770000,23.389999,24.670000,19.450008,1964600
2014-01-01,24.540001,24.809999,23.350000,23.690001,18.795633,1959100
2014-02-01,23.549999,24.650000,23.000000,24.530001,19.462084,5893300
2014-03-01,24.320000,25.219999,24.090000,25.120001,19.930187,1753100
2014-04-01,25.180000,25.510000,24.549999,25.299999,20.281605,3793300
2014-05-01,25.309999,26.030001,24.900000,25.980000,20.826727,2763700
2014-06-01,26.070000,26.629999,25.930000,26.480000,21.227545,2598500
2014-07-01,26.480000,27.500000,26.450001,26.870001,21.663441,2448900
2014-08-01,26.840000,27.850000,26.330000,27.770000,22.389055,2871500
2014-09-01,27.870001,28.219999,26.709999,27.080000,21.832756,5108700
2014-10-01,27.000000,27.230000,24.639999,27.090000,21.959320,4743400
2014-11-01,27.180000,28.629999,26.980000,28.500000,23.102276,5483600
2014-12-01,28.480000,28.620001,26.799999,27.680000,22.437580,3442300
2015-01-01,27.840000,27.990000,26.280001,26.290001,21.475798,4413900
2015-02-01,26.400000,28.620001,26.090000,28.299999,23.117731,5855700
2015-03-01,28.320000,28.480000,26.410000,26.930000,21.998602,3157400
2015-04-01,26.920000,28.430000,26.650000,27.980000,22.856325,3612900
2015-05-01,28.010000,28.400000,27.490000,28.160000,23.003370,1773100
2015-06-01,28.209999,28.250000,26.260000,26.400000,21.565659,2522700
2015-07-01,26.629999,26.629999,25.450001,26.080000,21.432743,4326600
2015-08-01,26.049999,26.379999,15.400000,24.830000,20.405481,3984600
2015-09-01,24.240000,25.290001,23.540001,24.209999,19.895962,1437600
2015-10-01,24.299999,26.780001,23.750000,26.420000,21.904715,1551200
2015-11-01,26.490000,26.940001,25.250000,26.240000,21.755474,1431200
2015-12-01,26.299999,26.549999,25.080000,25.270000,20.951252,1651400
2016-01-01,24.940001,25.129999,22.209999,23.940001,19.959711,2809300
2016-02-01,23.850000,25.059999,22.700001,24.750000,20.635033,1442700
2016-03-01,24.950001,27.000000,24.930000,26.910000,22.435909,1337900
2016-04-01,26.750000,26.959999,25.309999,25.469999,21.425974,1187000
2016-05-01,25.549999,26.639999,24.820000,26.580000,22.359734,1287900
2016-06-01,26.590000,26.940001,24.969999,26.570000,22.351318,1177900
2016-07-01,26.660000,28.780001,26.139999,28.709999,24.312288,1668900
2016-08-01,28.750000,29.150000,28.250000,28.889999,24.464716,2437900
2016-09-01,28.889999,29.450001,28.100000,29.320000,24.828848,1580100
2016-10-01,29.400000,29.440001,28.309999,28.690001,24.433256,2131800
2016-11-01,28.660000,29.570000,27.850000,29.280001,24.935717,2264500
2016-12-01,29.309999,30.270000,28.469999,29.580000,25.191214,2014100
2017-01-01,29.790001,30.969999,29.660000,30.600000,26.186010,1942000
2017-02-01,30.850000,31.980000,30.469999,31.559999,27.007536,1589400
2017-03-01,31.709999,32.110001,31.240000,31.700001,27.127340,2404000
2017-04-01,31.790001,31.990000,31.110001,31.770000,27.320381,1635000
2017-05-01,31.830000,32.360001,31.180000,32.230000,27.715960,1562000
2017-06-01,32.330002,32.669998,30.980000,31.190001,26.821621,1372400
2017-07-01,31.360001,32.169998,30.930000,31.690001,27.458282,1180100
2017-08-01,31.780001,32.230000,31.070000,32.099998,27.813534,1280100
2017-09-01,32.250000,32.540001,31.629999,32.380001,28.056149,829700
2017-10-01,32.520000,34.349998,32.450001,34.290001,29.905342,1446100
2017-11-01,34.470001,35.349998,34.150002,35.060001,30.576891,1033600
2017-12-01,34.980000,35.840000,34.340000,35.200001,30.698982,1755300
2018-01-01,35.410000,37.740002,35.360001,37.189999,32.613728,2000200
2018-02-01,36.980000,37.650002,33.349998,36.849998,32.315567,1704700
2018-03-01,36.849998,38.209999,35.000000,35.790001,31.386000,1624900
2018-04-01,35.740002,36.889999,34.419998,35.340000,31.174004,1642500
2018-05-01,35.240002,37.000000,34.750000,36.230000,31.959082,2123800
2018-06-01,36.490002,37.490002,35.009998,35.439999,31.262207,1295100
2018-07-01,35.250000,37.330002,35.130001,36.669998,32.567543,1599100
2018-08-01,36.740002,38.480000,36.410000,38.209999,33.935253,1140500
2018-09-01,38.119999,38.730000,37.500000,38.419998,34.121769,972200
2018-10-01,38.630001,38.860001,33.889999,35.389999,31.602739,2069800
2018-11-01,35.480000,36.720001,34.290001,36.020000,32.165318,2512000
2018-12-01,36.709999,36.750000,31.080000,33.160000,29.611372,2925600
2019-01-01,32.619999,35.660000,31.980000,35.590000,32.076733,2586300
2019-02-01,35.619999,37.849998,35.560001,37.400002,33.708042,2427400
2019-03-01,37.660000,38.990002,36.330002,38.299999,34.519199,2335600
2019-04-01,38.610001,40.980000,38.529999,39.990002,36.205742,1873400
2019-05-01,40.270000,40.400002,35.910000,35.930000,32.529942,2618700
2019-06-01,36.049999,39.250000,35.730000,39.020000,35.327538,2077600
2019-07-01,39.889999,41.160000,39.320000,40.189999,36.605293,1670400
2019-08-01,40.259998,41.020000,37.200001,38.700001,35.248199,1633800
2019-09-01,38.430000,41.279999,38.110001,40.110001,36.532444,1301800
2019-10-01,40.259998,41.110001,38.490002,40.750000,37.353683,1400300
2019-11-01,40.790001,42.439999,40.790001,41.910000,38.416992,1925300
2019-12-01,41.950001,43.389999,40.720001,43.119999,39.526146,1161600
2020-01-01,43.439999,45.520000,42.799999,43.419998,40.105881,2754000
2020-02-01,43.520000,46.279999,38.230000,39.700001,36.669830,3392700
2020-03-01,39.930000,41.799999,30.600000,35.380001,32.679558,5207800
2020-04-01,34.189999,40.060001,33.770000,38.959999,36.209648,3706000
2020-05-01,38.270000,40.490002,36.900002,40.250000,37.408577,2604300
2020-06-01,40.279999,43.189999,39.799999,41.720001,38.774807,2185300
2020-07-01,41.779999,44.000000,41.480000,43.549999,40.664684,2305700
2020-08-01,43.849998,45.959999,43.779999,45.770000,42.737598,2110300
2020-09-01,45.910000,47.020000,41.970001,43.779999,40.879444,2156100
2020-10-01,44.240002,46.380001,41.540001,42.020000,39.443699,2266000
2020-11-01,42.349998,47.580002,42.029999,47.560001,44.644035,1518100
2020-12-01,47.930000,49.700001,47.869999,49.470001,46.436928,1349500
2021-01-01,49.580002,52.490002,48.480000,50.020000,47.340626,2133100
2021-02-01,50.430000,53.459999,50.349998,51.049999,48.315456,1206400
2021-03-01,51.709999,54.310001,49.540001,53.990002,51.097980,1430600
2021-04-01,54.290001,56.419998,54.290001,55.410000,52.604465,1373300
2021-05-01,55.910000,56.689999,54.080002,56.369999,53.515850,1197700
2021-06-01,56.720001,57.759998,55.750000,57.320000,54.417751,1038700
2021-07-01,57.240002,58.259998,55.740002,57.860001,55.191036,1359200
2021-08-01,58.209999,59.320000,56.630001,59.080002,56.354771,1198100
2021-09-01,59.110001,59.369999,56.470001,56.470001,53.865154,947800
2021-10-01,56.680000,58.830002,56.060001,57.700001,55.264832,997300
2021-11-01,57.790001,61.310001,57.720001,59.599998,57.084633,939200
2021-12-01,60.360001,63.580002,59.090000,62.849998,60.197479,1425500
2022-01-01,63.020000,64.239998,56.599998,60.290001,58.155735,3362100
2022-02-01,60.290001,61.680000,54.669998,57.889999,55.840687,2741500
2022-03-01,57.790001,60.610001,54.919998,58.939999,56.853527,2818100
2022-04-01,59.169998,59.270000,53.939999,54.040001,52.320606,2615100
2022-05-01,54.070000,56.740002,51.270000,56.139999,54.353786,3501200
2022-06-01,56.459999,56.560001,48.980000,50.169998,48.573734,3022700
2022-07-01,49.860001,53.669998,48.520000,53.549999,52.149788,3233600
2022-08-01,53.180000,55.400002,50.020000,50.090000,48.780258,2179800
2022-09-01,49.630001,51.259998,43.590000,43.700001,42.557343,2614100
