Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,3.000000,3.100000,2.950000,3.060000,3.060000,377363
2010-04-01,3.075000,3.075000,2.780000,2.880000,2.880000,315171
2010-05-01,2.880000,2.880000,2.600000,2.750000,2.750000,1608786
2010-06-01,2.750000,2.800000,2.580000,2.700000,2.700000,354951
2010-07-01,2.700000,2.850000,2.680000,2.830000,2.830000,174804
2010-08-01,2.925000,2.925000,2.700000,2.780000,2.780000,142756
2010-09-01,2.780000,2.780000,2.550000,2.600000,2.600000,143332
2010-10-01,2.595000,2.660000,2.420000,2.550000,2.550000,243032
2010-11-01,2.550000,2.730000,2.030000,2.040000,2.040000,662028
2010-12-01,2.100000,2.590000,2.000000,2.300000,2.300000,531462
2011-01-01,2.300000,2.640000,2.280000,2.470000,2.470000,1140099
2011-02-01,2.470000,2.520000,2.290000,2.350000,2.350000,686375
2011-03-01,2.360000,2.395000,2.220000,2.230000,2.230000,1238825
2011-04-01,2.280000,2.340000,2.120000,2.200000,2.200000,230065
2011-05-01,2.220000,2.220000,2.060000,2.060000,2.060000,154184
2011-06-01,2.110000,2.110000,1.700000,1.770000,1.770000,345623
2011-07-01,1.760000,1.950000,1.550000,1.565000,1.565000,1001830
2011-08-01,1.590000,1.590000,1.300000,1.585000,1.585000,248879
2011-09-01,1.595000,1.700000,1.355000,1.445000,1.445000,181644
2011-10-01,1.445000,1.485000,1.310000,1.480000,1.480000,209610
2011-11-01,1.480000,1.480000,1.305000,1.400000,1.400000,130929
2011-12-01,1.400000,1.580000,1.315000,1.400000,1.400000,207979
2012-01-01,1.400000,1.570000,1.340000,1.480000,1.480000,516754
2012-02-01,1.490000,1.790000,1.430000,1.595000,1.595000,2034912
2012-03-01,1.600000,1.940000,1.435000,1.575000,1.575000,875737
2012-04-01,1.580000,1.750000,1.355000,1.735000,1.735000,301032
2012-05-01,1.735000,1.810000,1.425000,1.500000,1.500000,525996
2012-06-01,1.470000,1.590000,1.325000,1.420000,1.420000,567699
2012-07-01,1.425000,1.590000,1.320000,1.340000,1.340000,693852
2012-08-01,1.340000,1.430000,1.305000,1.320000,1.320000,164058
2012-09-01,1.325000,1.480000,1.205000,1.325000,1.325000,920784
2012-10-01,1.310000,1.340000,1.125000,1.170000,1.170000,262330
2012-11-01,1.105000,1.200000,0.950000,1.140000,1.140000,426150
2012-12-01,1.140000,1.150000,0.980000,1.070000,1.070000,622607
2013-01-01,1.070000,1.450000,1.040000,1.290000,1.290000,2312956
2013-02-01,1.200000,1.295000,1.060000,1.155000,1.155000,1515182
2013-03-01,1.155000,1.170000,1.010000,1.070000,1.070000,1163858
2013-04-01,1.070000,1.110000,1.000000,1.070000,1.070000,1777622
2013-05-01,1.070000,1.275000,1.045000,1.090000,1.090000,748652
2013-06-01,1.090000,1.140000,1.070000,1.070000,1.070000,223161
2013-07-01,1.120000,1.230000,1.015000,1.150000,1.150000,338923
2013-08-01,1.130000,1.240000,1.090000,1.150000,1.150000,531050
2013-09-01,1.145000,1.340000,1.070000,1.240000,1.240000,1235858
2013-10-01,1.200000,1.490000,1.200000,1.280000,1.280000,1614689
2013-11-01,1.295000,1.550000,1.290000,1.335000,1.335000,3335891
2013-12-01,1.330000,1.355000,1.190000,1.210000,1.210000,801527
2014-01-01,1.210000,1.400000,1.210000,1.340000,1.340000,2008807
2014-02-01,1.330000,1.420000,1.225000,1.355000,1.355000,1323715
2014-03-01,1.310000,1.840000,1.290000,1.770000,1.770000,5460143
2014-04-01,1.795000,1.905000,1.540000,1.730000,1.730000,2934210
2014-05-01,1.730000,1.830000,1.625000,1.750000,1.750000,1980362
2014-06-01,1.760000,1.840000,1.675000,1.700000,1.700000,1137154
2014-07-01,1.700000,1.715000,1.420000,1.500000,1.500000,1817095
2014-08-01,1.500000,1.580000,1.335000,1.450000,1.450000,708549
2014-09-01,1.445000,1.485000,1.355000,1.380000,1.380000,973442
2014-10-01,1.380000,1.410000,1.210000,1.375000,1.375000,1124952
2014-11-01,1.365000,306.000000,1.235000,1.400000,1.400000,237364
2014-12-01,1.415000,1.450000,1.240000,1.295000,1.295000,707754
2015-01-01,1.295000,1.505000,1.295000,1.490000,1.490000,768986
2015-02-01,1.490000,58.250000,1.470000,58.250000,58.250000,2910083
2015-03-01,1.520000,1.595000,1.420000,1.570000,1.570000,1843851
2015-04-01,1.560000,66.349998,1.430000,66.349998,66.349998,1750895
2015-05-01,1.440000,67.000000,1.245000,67.000000,67.000000,873890
2015-06-01,67.000000,67.000000,1.210000,1.305000,1.305000,512273
2015-07-01,1.310000,51.950001,1.260000,51.950001,51.950001,36946
2015-08-01,1.300000,1.325000,1.100000,1.160000,1.160000,349221
2015-09-01,1.160000,1.210000,1.000000,1.080000,1.080000,382945
2015-10-01,1.090000,45.490002,1.070000,45.490002,45.490002,547481
2015-11-01,1.115000,1.415000,1.115000,1.315000,1.315000,1682684
2015-12-01,1.305000,54.049999,1.160000,50.049999,50.049999,857576
2016-01-01,1.160000,868.679993,1.025000,46.849998,46.849998,854813
2016-02-01,1.180000,1.180000,0.970000,1.095000,1.095000,640508
2016-03-01,1.155000,45.549999,1.125000,45.549999,45.549999,424538
2016-04-01,45.549999,45.549999,1.320000,45.549999,45.549999,2041706
2016-05-01,1.565000,45.549999,1.450000,1.585000,1.585000,302567
2016-06-01,1.550000,57.349998,1.500000,49.799999,49.799999,1338018
2016-07-01,1.750000,55.299999,1.680000,55.299999,55.299999,4444971
2016-08-01,2.645000,3.685000,2.645000,3.325000,3.325000,4831553
2016-09-01,3.325000,60.400002,3.275000,60.400002,60.400002,1375042
