Date,Open,High,Low,Close,Adj Close,Volume
2021-08-01,10.040000,10.070000,10.000000,10.025000,10.025000,705809
2021-09-01,10.030000,10.109900,9.970000,10.016000,10.016000,117023
2021-10-01,9.990000,10.090000,9.650000,10.005000,10.005000,467413
2021-11-01,9.980000,10.009900,9.640000,9.985000,9.985000,98464
2021-12-01,9.985000,10.960000,9.286400,10.024500,10.024500,317713
2022-01-01,9.960000,10.060000,9.860000,9.955000,9.955000,3290561
2022-02-01,9.975600,10.030000,9.810100,9.955000,9.955000,281896
2022-03-01,9.931700,10.050000,9.570000,9.985000,9.985000,484229
2022-04-01,9.939800,10.040000,9.110000,9.650000,9.650000,416940
2022-05-01,9.700000,9.790000,9.280000,9.695000,9.695000,294132
2022-06-01,9.628600,9.770000,9.230000,9.320000,9.320000,372067
2022-07-01,9.373200,9.710000,8.820000,9.660000,9.660000,647580
2022-08-01,9.565000,10.500000,9.400000,9.480000,9.480000,539007
2022-09-01,9.430100,9.650000,9.030000,9.075000,9.075000,158728
2022-10-01,9.059900,9.387800,8.700000,9.364300,9.364300,3309109
2022-11-01,9.330000,9.410000,9.090000,9.290000,9.290000,57718
2022-12-01,null,null,null,null,null,null
2023-01-01,null,null,null,null,null,null
2023-02-01,null,null,null,null,null,null
2023-03-01,null,null,null,null,null,null
2023-04-01,null,null,null,null,null,null
2023-05-01,null,null,null,null,null,null
2023-06-01,null,null,null,null,null,null
2023-07-01,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-09-01,null,null,null,null,null,null
2023-10-01,null,null,null,null,null,null
