Date,Open,High,Low,Close,Adj Close,Volume
2013-12-01,292.500000,315.000000,187.500000,197.250000,197.250000,12000
2014-01-01,186.000000,225.000000,129.750000,159.750000,159.750000,7473
2014-02-01,168.750000,179.250000,135.000000,138.750000,138.750000,4692
2014-03-01,135.000000,195.000000,112.500000,191.250000,191.250000,7612
2014-04-01,217.500000,328.500000,75.000000,105.000000,105.000000,45631
2014-05-01,106.500000,129.750000,97.500000,99.000000,99.000000,14385
2014-06-01,99.750000,105.000000,82.500000,96.000000,96.000000,6920
2014-07-01,96.750000,170.250000,82.500000,137.250000,137.250000,10579
2014-08-01,127.500000,150.000000,69.000000,105.750000,105.750000,22358
2014-09-01,106.500000,108.750000,74.250000,81.000000,81.000000,10725
2014-10-01,85.500000,86.250000,68.250000,78.000000,78.000000,6839
2014-11-01,78.000000,83.250000,68.250000,69.750000,69.750000,5901
2014-12-01,69.750000,74.250000,32.250000,60.000000,60.000000,10074
2015-01-01,60.000000,60.000000,48.750000,48.750000,48.750000,3715
2015-02-01,52.500000,112.500000,45.000000,93.750000,93.750000,14132
2015-03-01,90.000000,96.000000,60.000000,73.500000,73.500000,7021
2015-04-01,73.500000,75.000000,51.000000,60.000000,60.000000,11709
2015-05-01,57.750000,75.000000,52.500000,70.500000,70.500000,4989
2015-06-01,70.500000,116.250000,51.000000,96.000000,96.000000,24570
2015-07-01,97.500000,135.000000,76.500000,101.250000,101.250000,23605
2015-08-01,97.500000,108.000000,71.250000,78.750000,78.750000,9815
2015-09-01,82.500000,82.500000,66.750000,73.500000,73.500000,7282
2015-10-01,75.000000,82.500000,51.750000,67.500000,67.500000,6948
2015-11-01,66.000000,71.250000,37.500000,46.500000,46.500000,11038
2015-12-01,45.750000,55.500000,19.500000,21.150000,21.150000,26659
2016-01-01,19.350000,21.000000,6.015000,7.800000,7.800000,17273
2016-02-01,7.800000,32.849998,7.500000,15.300000,15.300000,57087
2016-03-01,15.600000,29.850000,13.515000,29.250000,29.250000,41886
2016-04-01,28.350000,33.435001,18.600000,30.000000,30.000000,105392
2016-05-01,30.299999,33.000000,22.650000,27.450001,27.450001,61861
2016-06-01,27.450001,30.000000,25.650000,26.850000,26.850000,25233
2016-07-01,26.850000,28.200001,23.250000,24.450001,24.450001,23334
2016-08-01,24.450001,26.700001,13.800000,21.299999,21.299999,29080
2016-09-01,21.299999,24.299999,16.799999,19.200001,19.200001,20451
2016-10-01,19.094999,21.000000,18.000000,19.049999,19.049999,14013
2016-11-01,19.200001,20.700001,17.250000,18.000000,18.000000,9933
2016-12-01,17.250000,18.000000,12.750000,15.000000,15.000000,19953
2017-01-01,15.000000,16.799999,12.750000,15.165000,15.165000,13907
2017-02-01,15.300000,17.250000,14.850000,15.900000,15.900000,15152
2017-03-01,15.300000,16.500000,14.715000,16.200001,16.200001,17653
2017-04-01,16.500000,30.600000,16.200001,19.350000,19.350000,38167
2017-05-01,18.900000,25.500000,15.750000,22.334999,22.334999,26121
2017-06-01,21.750000,25.350000,21.000000,22.350000,22.350000,22534
2017-07-01,22.799999,23.250000,18.150000,19.065001,19.065001,23539
2017-08-01,19.049999,22.350000,18.000000,20.100000,20.100000,21169
2017-09-01,20.250000,22.350000,19.500000,20.400000,20.400000,20348
2017-10-01,21.150000,21.900000,16.350000,18.150000,18.150000,23881
2017-11-01,18.150000,19.500000,16.500000,16.799999,16.799999,25503
2017-12-01,16.950001,18.600000,15.000000,15.600000,15.600000,22893
2018-01-01,15.600000,17.250000,12.930000,15.450000,15.450000,30507
2018-02-01,15.750000,16.650000,12.000000,13.905000,13.905000,35925
2018-03-01,13.800000,15.750000,13.500000,15.000000,15.000000,13853
2018-04-01,15.750000,20.250000,12.675000,15.000000,15.000000,33699
2018-05-01,15.000000,27.900000,14.250000,22.500000,22.500000,83927
2018-06-01,23.250000,33.750000,20.250000,31.200001,31.200001,78365
2018-07-01,31.049999,31.200001,22.725000,24.750000,24.750000,56402
2018-08-01,24.750000,30.450001,24.600000,26.100000,26.100000,47193
2018-09-01,25.350000,68.849998,24.750000,57.000000,57.000000,500334
2018-10-01,58.500000,70.349998,47.400002,48.750000,48.750000,178828
2018-11-01,48.750000,59.099998,45.900002,53.340000,53.340000,63281
2018-12-01,54.075001,83.445000,41.849998,46.349998,46.349998,296127
2019-01-01,45.450001,64.500000,36.750000,51.000000,51.000000,929747
2019-02-01,51.450001,62.700001,47.250000,51.150002,51.150002,873260
2019-03-01,51.000000,52.349998,34.799999,35.849998,35.849998,1205760
2019-04-01,36.450001,42.000000,31.200001,34.049999,34.049999,917665
2019-05-01,34.349998,34.349998,23.850000,23.850000,23.850000,438593
2019-06-01,24.150000,34.200001,21.600000,32.700001,32.700001,434387
2019-07-01,33.299999,36.750000,25.200001,27.750000,27.750000,465734
2019-08-01,27.750000,30.750000,20.549999,29.850000,29.850000,648326
2019-09-01,29.850000,42.000000,21.750000,22.049999,22.049999,835880
2019-10-01,22.500000,24.900000,18.900000,19.500000,19.500000,431625
2019-11-01,18.900000,23.100000,16.350000,17.549999,17.549999,435965
2019-12-01,17.700001,20.100000,15.450000,19.049999,19.049999,483671
2020-01-01,19.200001,26.250000,19.049999,21.000000,21.000000,513039
2020-02-01,21.000000,23.100000,11.295000,13.650000,13.650000,828161
2020-03-01,13.350000,15.000000,6.000000,9.000000,9.000000,690605
2020-04-01,8.550000,20.100000,7.680000,15.000000,15.000000,1279120
2020-05-01,15.600000,18.299999,13.050000,16.799999,16.799999,631394
2020-06-01,16.950001,27.000000,16.500000,21.450001,21.450001,2187620
2020-07-01,22.799999,39.000000,21.900000,30.299999,30.299999,3346013
2020-08-01,30.450001,30.600000,20.250000,22.350000,22.350000,1892136
2020-09-01,22.350000,23.100000,17.400000,18.900000,18.900000,1472359
2020-10-01,19.350000,26.850000,18.299999,18.750000,18.750000,2245052
2020-11-01,18.600000,23.250000,15.990000,17.850000,17.850000,2602785
2020-12-01,18.150000,18.150000,15.000000,15.150000,15.150000,2620435
2021-01-01,15.150000,21.299999,13.950000,18.000000,18.000000,2964145
2021-02-01,18.000000,25.200001,17.100000,17.250000,17.250000,3679359
2021-03-01,17.700001,19.049999,15.300000,16.350000,16.350000,1847374
2021-04-01,16.500000,17.700001,14.400000,16.950001,16.950001,1290354
2021-05-01,17.100000,18.600000,15.000000,17.549999,17.549999,1275240
2021-06-01,17.850000,25.049999,17.850000,22.950001,22.950001,2698839
2021-07-01,22.799999,30.600000,18.900000,29.400000,29.400000,3664326
2021-08-01,30.809999,35.250000,25.650000,28.049999,28.049999,3946031
2021-09-01,28.320000,28.500000,22.650000,23.850000,23.850000,1642046
2021-10-01,23.850000,27.000000,20.400000,25.500000,25.500000,2541400
2021-11-01,25.799999,27.525000,17.700001,18.750000,18.750000,2824447
2021-12-01,19.049999,22.275000,16.950001,17.700001,17.700001,2165700
2022-01-01,17.700001,18.750000,15.000000,16.350000,16.350000,1585634
2022-02-01,16.500000,17.400000,10.200000,13.500000,13.500000,1378140
2022-03-01,13.365000,15.300000,11.250000,13.800000,13.800000,831406
2022-04-01,13.965000,14.850000,11.445000,11.685000,11.685000,690032
2022-05-01,11.400000,11.700000,4.950000,6.600000,6.600000,1943979
2022-06-01,6.720000,7.875000,5.490000,5.895000,5.895000,915608
2022-07-01,5.745000,9.600000,5.550000,6.420000,6.420000,1232074
2022-08-01,6.735000,8.700000,6.450000,8.280000,8.280000,945190
2022-09-01,7.590000,8.700000,5.025000,5.055000,5.055000,798686
2022-10-01,5.250000,5.565000,4.050000,4.500000,4.500000,734180
2022-11-01,4.500000,4.710000,2.505000,2.625000,2.625000,1118352
2022-12-01,3.150000,3.750000,2.145000,2.625000,2.625000,1871413
2023-01-01,2.685000,4.425000,2.415000,3.825000,3.825000,1883613
2023-02-01,3.825000,4.170000,3.000000,3.675000,3.675000,1368249
2023-03-01,3.900000,3.900000,2.100000,2.400000,2.400000,1937753
2023-04-01,2.565000,2.625000,1.020000,1.090000,1.090000,4280107
2023-05-01,1.090000,2.640000,1.070000,1.780000,1.780000,3506300
2023-06-01,1.790000,2.120000,1.465000,1.540000,1.540000,1385300
2023-07-01,1.500000,1.870000,1.360000,1.480000,1.480000,1517600
2023-08-01,1.500000,1.550000,0.660000,0.671000,0.671000,2540600
2023-09-01,0.675000,0.720000,0.310000,0.365000,0.365000,8694600
2023-10-01,0.360000,0.360000,0.240000,0.273000,0.273000,2926000
