Date,Open,High,Low,Close,Adj Close,Volume
2019-02-01,42.470001,43.961201,40.888401,41.877701,41.877701,3287
2019-03-01,42.601101,45.341599,42.402100,43.493198,43.493198,14413
2019-04-01,44.837799,51.976101,44.837799,49.617100,49.617100,1761
2019-05-01,49.142899,49.565601,43.619999,43.650700,43.650700,2897
2019-06-01,40.834400,48.138699,40.834400,47.194500,47.194500,23568
2019-07-01,48.400002,51.989799,47.834000,50.089401,50.089401,5412
2019-08-01,49.541199,49.541199,43.981602,47.192402,47.192402,1652
2019-09-01,47.192402,50.648102,46.278099,47.117599,47.117599,841
2019-10-01,46.205502,49.571602,44.509998,48.834900,48.834900,19296
2019-11-01,49.493999,52.943901,49.493999,52.619400,52.619400,581
2019-12-01,51.722500,55.917400,51.510101,54.918598,54.918598,2929
2020-01-01,54.918598,61.630001,54.570000,55.318001,55.318001,3306
2020-02-01,56.604500,63.099998,47.903400,47.903400,47.903400,4249
2020-03-01,51.717499,51.985600,29.022800,34.946098,34.946098,14128
2020-04-01,32.084702,44.812599,31.553699,44.403301,44.403301,19593
2020-05-01,42.890900,51.650002,42.890900,51.150002,51.150002,11781
2020-06-01,52.179600,55.696400,47.770000,50.905899,50.905899,17398
2020-07-01,53.292198,58.719898,52.860802,58.166801,58.166801,4959
2020-08-01,58.849998,71.079002,58.661999,69.282402,69.282402,14163
2020-09-01,69.980003,73.197601,57.060699,60.961800,60.961800,19643
2020-10-01,62.500000,62.500000,62.500000,62.500000,62.500000,1770
2020-11-01,null,null,null,null,null,null
2020-12-01,null,null,null,null,null,null
2021-01-01,null,null,null,null,null,null
2021-02-01,null,null,null,null,null,null
2021-03-01,null,null,null,null,null,null
2021-04-01,null,null,null,null,null,null
2021-05-01,null,null,null,null,null,null
2021-06-01,null,null,null,null,null,null
2021-07-01,null,null,null,null,null,null
2021-08-01,null,null,null,null,null,null
2021-09-01,null,null,null,null,null,null
2021-10-01,null,null,null,null,null,null
2021-11-01,null,null,null,null,null,null
2021-12-01,null,null,null,null,null,null
2022-01-01,null,null,null,null,null,null
2022-02-01,null,null,null,null,null,null
2022-03-01,null,null,null,null,null,null
2022-04-01,null,null,null,null,null,null
2022-05-01,null,null,null,null,null,null
2022-06-01,null,null,null,null,null,null
2022-07-01,null,null,null,null,null,null
2022-08-01,null,null,null,null,null,null
2022-09-01,null,null,null,null,null,null
2022-10-01,null,null,null,null,null,null
2022-11-01,null,null,null,null,null,null
2022-12-01,null,null,null,null,null,null
2023-01-01,null,null,null,null,null,null
2023-02-01,null,null,null,null,null,null
2023-03-01,null,null,null,null,null,null
2023-04-01,null,null,null,null,null,null
2023-05-01,null,null,null,null,null,null
2023-06-01,null,null,null,null,null,null
2023-07-01,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-09-01,null,null,null,null,null,null
2023-10-01,null,null,null,null,null,null
